Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
Switzerland,,10.2143/AST.23.1.2005101,http://dx.doi.org/10.2143/AST.23.1.2005101,Predictive Stop-Loss Premiums,Werner Hürlimann,1993,ASTIN Bulletin,aff1 /// Switzerland /// 
"Bigorio, Switzerland",,10.1017/S0066477400000848,http://dx.doi.org/10.1017/S0066477400000848,A  of Minor Bucolic,R.J.H. Matthews,1994,Antichthon,"aff1 /// Bigorio ///  /// ,  /// Switzerland /// "
"Fribourg, Switzerland",,10.1017/S0009838800003748,http://dx.doi.org/10.1017/S0009838800003748,"Apollonius Rhodius,  4.12",Damien P. Nelis,1991,The Classical Quarterly,"aff1 /// Fribourg,  /// Switzerland /// "
"Fribourg, Switzerland",,10.1017/S0009838800003578,http://dx.doi.org/10.1017/S0009838800003578,"Iphias: Apollonius Rhodius,  1.311–61",Damien P. Nelis,1991,The Classical Quarterly,"aff1 /// Fribourg ///  /// ,  /// Switzerland /// "
"Romont, Switzerland",,10.2307/2054969,http://dx.doi.org/10.2307/2054969,,A. F. P. Hulsewé,1982,The Journal of Asian Studies,"aff1 /// Romont ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0028688500012492,http://dx.doi.org/10.1017/S0028688500012492,Observance of the Law and Charismatic Activity in Matthew,Eduard Schweizer,1970,New Testament Studies,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Basel, Switzerland",,10.1017/S0028688500017562,http://dx.doi.org/10.1017/S0028688500017562,L'Evangile Johannique et l'Histoire du Salut,Oscar Cullmann,1965,New Testament Studies,"aff1 /// Basel ///  /// ,  /// Switzerland /// "
1110 MorgesSwitzerland.,,10.1017/S0376892900026126,http://dx.doi.org/10.1017/S0376892900026126,Mexico Asked to Save Sea-turtle from Extinction,World Wildlife Fund,1977,Environmental Conservation,aff1 /// 1110 Morges ///  /// Switzerland ///  /// .
"Geneva, Switzerland",,10.1017/S0376892900017975,http://dx.doi.org/10.1017/S0376892900017975,,Michael G. Royston,1976,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"1110 Morges, Switzerland.",,10.1017/S0376892900002204,http://dx.doi.org/10.1017/S0376892900002204,Sperm Whaling Quota Claimed Disappointing,World Wildlife Fund,1979,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Geneva, Switzerland",,10.1017/S037689290000240X,http://dx.doi.org/10.1017/S037689290000240X,,Claude-G. Ducret,1979,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0376892900004094,http://dx.doi.org/10.1017/S0376892900004094,,Frank G. Nicholls,1974,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Lausanne, Switzerland",,10.1017/S0376892900006937,http://dx.doi.org/10.1017/S0376892900006937,,Clifford B. Holliday,1980,Environmental Conservation,"aff1 /// Lausanne ///  /// ,  /// Switzerland /// "
"Gland, Switzerland",,10.1017/S0376892900008298,http://dx.doi.org/10.1017/S0376892900008298,,Harold K. Eidsvik,1980,Environmental Conservation,"aff1 /// Gland ///  /// ,  /// Switzerland /// "
"CERN, Geneva, Switzerland",,10.1017/S0263034600004985,http://dx.doi.org/10.1017/S0263034600004985,Heavy-ion accelerators for inertial confinement fusion,Carlo Rubbia,1993,Laser and Particle Beams,"aff1 /// CERN ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S002221510011254X,http://dx.doi.org/10.1017/S002221510011254X,"Ear, nose and throat manifestations of Lyme disease",T. H. J. Lesser /// J. C. Dort /// D. P. B. Simmen,1990,The Journal of Laryngology & Otology,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"ETH, Zürich, Switzerland",ETH Zurich,10.2143/AST.22.1.2005125,http://dx.doi.org/10.2143/AST.22.1.2005125,Robust Methods for Credibility,Hans R. Künsch,1992,ASTIN Bulletin,"aff1 /// ETH ///  /// ,  /// Zürich ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0515036100010424,http://dx.doi.org/10.1017/S0515036100010424,Note Concerning the Distribution Function of the Total Loss Excluding the Largest Individual Claims,Hans Ammeter,1964,ASTIN Bulletin,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900002010,http://dx.doi.org/10.1017/S0376892900002010,,Peter S. Thacher,1975,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900003647,http://dx.doi.org/10.1017/S0376892900003647,,David MacRae,1979,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Nr Geneva, Switzerland",,10.1017/S0376892900003659,http://dx.doi.org/10.1017/S0376892900003659,,Michael G. Royston,1979,Environmental Conservation,"aff1 /// Nr Geneva ///  /// ,  /// Switzerland /// "
"Basel, Switzerland",,10.1017/S0028688500017574,http://dx.doi.org/10.1017/S0028688500017574,Der Menschensohn im Johannesevangelium,R. Schnackenburg,1965,New Testament Studies,"aff1 /// Basel ///  /// ,  /// Switzerland /// "
"Zürich, Switzerland",,10.1017/S0028688500018476,http://dx.doi.org/10.1017/S0028688500018476,Dying and Rising with Christ,Eduard Schweizer,1967,New Testament Studies,"aff1 /// Zürich ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0028688500010262,http://dx.doi.org/10.1017/S0028688500010262,Zum Problem Einer ‘Christlichen Exegese’,Hans Weder,1980,New Testament Studies,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Bern, Switzerland",,10.1017/S0028688500018798,http://dx.doi.org/10.1017/S0028688500018798,Das Messiasgeheimnis des Markusevangeliums,Christian Maurer,1968,New Testament Studies,"aff1 /// Bern ///  /// ,  /// Switzerland /// "
"(Geneva, Switzerland",,10.1017/S0376892900026965,http://dx.doi.org/10.1017/S0376892900026965,,David Chalfan,1981,Environmental Conservation,"aff1 /// ( /// Geneva ///  /// ,  /// Switzerland /// "
"Zermatt, Switzerland",,10.1017/S0376892900018816,http://dx.doi.org/10.1017/S0376892900018816,,Harold P. Mitchell,1976,Environmental Conservation,"aff1 /// Zermatt ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900027454,http://dx.doi.org/10.1017/S0376892900027454,,David Chalfan,1981,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900027429,http://dx.doi.org/10.1017/S0376892900027429,,M. A. Farid,1981,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0376892900025212,http://dx.doi.org/10.1017/S0376892900025212,,Colin W. Holloway,1977,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900019275,http://dx.doi.org/10.1017/S0376892900019275,,John H. Crabb,1976,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0033291700025344,http://dx.doi.org/10.1017/S0033291700025344,A modern melancholia: Van Gogh's portrait of Dr Gachet,Jean Starobinski,1993,Psychological Medicine,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Romont, Switzerland",,10.2307/2054176,http://dx.doi.org/10.2307/2054176,,A. F. P. Hulsewé,1978,The Journal of Asian Studies,"aff1 /// Romont ///  /// ,  /// Switzerland /// "
