Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
,,10.2202/1554-4567.1123,http://dx.doi.org/10.2202/1554-4567.1123,"Scientific Evidence in Europe -- Admissibility, Evaluation and Equality of Arms",Christophe Champod /// Joëlle Vuille,2011,International Commentary on Evidence,"a1 /// University of Lausanne, Switzerland ///  /// a2 /// University of Lausanne, Switzerland /// "
"CERN, Geneva, Switzerland",,10.1524/ract.1971.16.34.148,http://dx.doi.org/10.1524/ract.1971.16.34.148,The Production of Iodine and Bromine Isotopes from Uranium at High Proton Energies,REINHARD BRANDT,1971,Radiochimica Acta,"aff1 /// 1 ///  /// CERN, Geneva, Switzerland"
Franklin College Switzerland,,10.1515/etst-2012-0013,http://dx.doi.org/10.1515/etst-2012-0013,"Exhibiting the Etruscans in Piemonte, 2012",P. Gregory Warden,2012,Etruscan Studies,aff1 /// 1 ///  /// Franklin College Switzerland
"ETH Zürich, Switzerland",ETH Zurich,10.1515/jci-2014-0015,http://dx.doi.org/10.1515/jci-2014-0015,On the Intersection Property of Conditional Independence and its Application to Causal Discovery,Jonas Peters,2015,Journal of Causal Inference,"aff1 /// 1 ///  /// ETH Zürich, Switzerland"
"ETH Zürich, Zürich, Switzerland",ETH Zurich,10.1515/HF.2009.028,http://dx.doi.org/10.1515/HF.2009.028,Acoustic wood tomography on trees and the challenge of wood heterogeneity,Sandy Schubert /// Daniel Gsell /// Jurg Dual /// Masoud Motavalli /// Peter Niemz,2009,Holzforschung,"a1 /// 1 ///  /// Empa, Dübendorf, Switzerland /// a2 /// 2 ///  /// Empa, Dübendorf, Switzerland /// a3 /// 3 ///  /// ETH Zürich, Zürich, Switzerland /// a4 /// 4 ///  /// Empa, Dübendorf, Switzerland /// a5 /// 5 ///  /// ETH Zürich, Zürich, Switzerland"
"University of Applied Sciences Northwestern Switzerland, Muttenz, Switzerland",,10.1515/bmt-2012-4218,http://dx.doi.org/10.1515/bmt-2012-4218,Miniaturized Instrument-Mounted Navigation System,F. Coigny /// P. Jürgens /// J. Beinemann /// B. Knobel /// E. Schkommodau,2012,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// University of Applied Sciences Northwestern Switzerland, Muttenz, Switzerland /// aff2 /// 2 ///  /// University-Hosp. Basel, Basel, Switzerland /// aff3 /// 3 ///  /// University-Hosp. Basel, Basel, Switzerland /// aff4 /// 4 ///  /// Naviswiss AG, Laufen, Switzerland /// aff5 /// 5 ///  /// University of Applied Sciences Northwestern Switzerland, Muttenz, Switzerland"
"Univ. of Basel – LOB2, Switzerland",,10.1515/bmt-2013-4069,http://dx.doi.org/10.1515/bmt-2013-4069,3D printed chitosan / hydroxyapatite scaffolds for potential use in regenerative medicine,Philippe Chavanne /// Sabrina Stevanovic /// Alain Wüthrich /// Olivier Braissant /// Uwe Pieles /// Philipp Gruner /// Ralf Schumacher,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// FHNW-School of Life Science, Switzerland /// aff2 /// 2 ///  /// Medicoat AG, Switzerland /// aff3 /// 3 ///  /// Univ. of Basel – LOB2, Switzerland"
"University of Fribourg, Switzerland",University of Fribourg,10.1515/ijsl-2013-0086,http://dx.doi.org/10.1515/ijsl-2013-0086,"Linguistic landscapes on the other side of the border: signs, language and the construction of cultural identity in Transnistria",Sebastian Muth,2014,International Journal of the Sociology of Language,"aff1 /// 1 ///  /// University of Fribourg, Switzerland"
"Zuerichbergstr. 4, Zurich 8032, Switzerland",,10.1515/asia-2015-0049,http://dx.doi.org/10.1515/asia-2015-0049,"Babb, James: The SAGE Handbook of Modern Japanese Studies",David Chiavacci,2015,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// Zuerichbergstr. 4, Zurich 8032, Switzerland"
"Department of Clinical Chemistry, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland",,10.1515/CCLM.2010.293,http://dx.doi.org/10.1515/CCLM.2010.293,Spurious increase in serum chromogranin A: the role of heterophilic antibodies,Luca Giovanella /// Luca Ceriani,2010,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// aff2 /// 2 ///  /// Department of Clinical Chemistry, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland"
