id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1226,fulltexts/gruyter/j/hzhz.2017.304.issue-3/hzhz-2017-1226/hzhz-2017-1226.pdf,,National Licences: unifr,gruyter101515hzhz20171226
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-0341,fulltexts/gruyter/j/cclm.2017.55.issue-1/cclm-2016-0341/cclm-2016-0341.pdf,,National Licences: uzh,gruyter101515cclm20160341
(NATIONALLICENCE)gruyter-10.1515/mammalia-2016-0032,fulltexts/gruyter/j/mamm.2017.81.issue-4/mammalia-2016-0032/mammalia-2016-0032.pdf,,National Licences: uzh,gruyter101515mammalia20160032
(NATIONALLICENCE)gruyter-10.1515/asia-2017-0069,fulltexts/gruyter/j/asia.2017.71.issue-3/asia-2017-0069/asia-2017-0069.pdf,,National Licences: usi uzh,gruyter101515asia20170069
(NATIONALLICENCE)gruyter-10.1515/bejeap-2016-0261,fulltexts/gruyter/j/bejeap.2017.17.issue-3/bejeap-2016-0261/bejeap-2016-0261.pdf,,National Licences: ethz,gruyter101515bejeap20160261
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0053,fulltexts/gruyter/j/jpme.2017.45.issue-5/jpm-2016-0053/jpm-2016-0053.pdf,,National Licences: unisg,gruyter101515jpm20160053
(NATIONALLICENCE)gruyter-10.1515/forum-2016-0123,fulltexts/gruyter/j/forum.2017.29.issue-2/forum-2016-0123/forum-2016-0123.pdf,,National Licences: uzh,gruyter101515forum20160123
(NATIONALLICENCE)gruyter-10.1515/ldr-2017-0026,fulltexts/gruyter/j/ldr.2017.10.issue-2/ldr-2017-0026/ldr-2017-0026.pdf,,National Licences: unige,gruyter101515ldr20170026
(NATIONALLICENCE)gruyter-10.1515/ract-2016-2728,fulltexts/gruyter/j/ract.2017.105.issue-10/ract-2016-2728/ract-2016-2728.pdf,,National Licences: lib4ri,gruyter101515ract20162728
(NATIONALLICENCE)gruyter-10.1515/sem-2016-0073,fulltexts/gruyter/j/semi.2017.2017.issue-217/sem-2016-0073/sem-2016-0073.pdf,,National Licences: unige,gruyter101515sem20160073
(NATIONALLICENCE)gruyter-10.1515/mammalia-2015-0168,fulltexts/gruyter/j/mamm.2017.81.issue-1/mammalia-2015-0168/mammalia-2015-0168.pdf,,National Licences: uzh,gruyter101515mammalia20150168
(NATIONALLICENCE)gruyter-10.1515/bmt-2015-0163,fulltexts/gruyter/j/bmte.2017.62.issue-6/bmt-2015-0163/bmt-2015-0163.pdf,,National Licences: unibe,gruyter101515bmt20150163
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1275,fulltexts/gruyter/j/hzhz.2017.305.issue-1/hzhz-2017-1275/hzhz-2017-1275.pdf,,National Licences: unifr,gruyter101515hzhz20171275
(NATIONALLICENCE)gruyter-10.1515/ijsl-2017-0026,fulltexts/gruyter/j/ijsl.2017.2017.issue-247/ijsl-2017-0026/ijsl-2017-0026.pdf,,National Licences: uzh,gruyter101515ijsl20170026
(NATIONALLICENCE)gruyter-10.1515/ijsl-2017-0020,fulltexts/gruyter/j/ijsl.2017.2017.issue-247/ijsl-2017-0020/ijsl-2017-0020.pdf,,National Licences: uzh,gruyter101515ijsl20170020
(NATIONALLICENCE)gruyter-10.1515/ijsl-2017-0025,fulltexts/gruyter/j/ijsl.2017.2017.issue-247/ijsl-2017-0025/ijsl-2017-0025.pdf,,National Licences: unibe,gruyter101515ijsl20170025
(NATIONALLICENCE)gruyter-10.1515/les-2017-0021,fulltexts/gruyter/j/les.2017.62.issue-2/les-2017-0021/les-2017-0021.pdf,,National Licences: fachhochschulen,gruyter101515les20170021
(NATIONALLICENCE)gruyter-10.1515/dialect-2017-0005,fulltexts/gruyter/j/dialect.2017.25.issue-1/dialect-2017-0005/dialect-2017-0005.pdf,,National Licences: unibe,gruyter101515dialect20170005
(NATIONALLICENCE)gruyter-10.1515/arb-2017-0003,fulltexts/gruyter/j/arbi.2017.35.issue-2/arb-2017-0003/arb-2017-0003.pdf,,National Licences: uzh,gruyter101515arb20170003
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-1074,fulltexts/gruyter/j/cclm.2017.55.issue-9/cclm-2016-1074/cclm-2016-1074.pdf,,National Licences: uzh,gruyter101515cclm20161074
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-0760,fulltexts/gruyter/j/cclm.2017.55.issue-9/cclm-2016-0760/cclm-2016-0760.pdf,,National Licences: unibas,gruyter101515cclm20160760
(NATIONALLICENCE)gruyter-10.1515/asia-2016-0055,fulltexts/gruyter/j/asia.2017.71.issue-1/asia-2016-0055/asia-2016-0055.pdf,,National Licences: unige,gruyter101515asia20160055
(NATIONALLICENCE)gruyter-10.1515/crelle-2014-0135,fulltexts/gruyter/j/crelle.2017.2017.issue-726/crelle-2014-0135/crelle-2014-0135.pdf,,National Licences: uzh,gruyter101515crelle20140135
(NATIONALLICENCE)gruyter-10.1515/text-2017-0004,fulltexts/gruyter/j/text.2017.37.issue-2/text-2017-0004/text-2017-0004.pdf,,National Licences: unibas,gruyter101515text20170004
(NATIONALLICENCE)gruyter-10.1515/asia-2017-0032,fulltexts/gruyter/j/asia.2017.71.issue-2/asia-2017-0032/asia-2017-0032.pdf,,National Licences: uzh,gruyter101515asia20170032
