First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Phytopathology Group, Institute of Plant Sciences, Swiss Federal Institute of Technology (ETH), 8092 Zürich, Switzerland",Alban Ramette,ethz,10.1111/j.1574-6941.2003.tb01088.x,https://doi.org/10.1111/j.1574-6941.2003.tb01088.x,./femsec/femsec44-1/abstracts/44-1-35.xml,Prevalence of fluorescent pseudomonads producing antifungal phloroglucinols and/or hydrogen cyanide in soils naturally suppressive or conducive to tobacco black root rot,,Alban Ramette;Yvan Moënne-Loccoz;Geneviève Défago,2003,FEMS Microbiology Ecology,"Phytopathology Group, Institute of Plant Sciences, Swiss Federal Institute of Technology (ETH), 8092 Zürich, Switzerland;UMR CNRS Ecologie Microbienne, Université Claude Bernard (Lyon 1), 69622 Villeurbanne Cedex, France;Phytopathology Group, Institute of Plant Sciences, Swiss Federal Institute of Technology (ETH), 8092 Zürich, Switzerland E-mail: moenne@biomserv.univ-lyon1.fr",Blackwell Publishing Ltd,,44,1,35,43,,1574-6941,copyright,© 2003 Federation of European Microbiological Societies. Published by Elsevier Science B.V. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j157469412003tb01088x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412003tb01088x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412003tb01088x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412003tb01088x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"ETH Zürich, Plant Ecological Genetics, Institute of Integrative Biology (IBZ), Zürich, Switzerland",Fabrizio Steinebrunner,ethz,10.1111/j.1574-6941.2008.00452.x,https://doi.org/10.1111/j.1574-6941.2008.00452.x,./femsec/femsec64-2/abstracts/64-2-307.xml,Ecological role of volatiles produced by Epichloë: differences in antifungal toxicity,,Fabrizio Steinebrunner;Florian P. Schiestl;Adrian Leuchtmann,2008,FEMS Microbiology Ecology,"ETH Zürich, Plant Ecological Genetics, Institute of Integrative Biology (IBZ), Zürich, Switzerland;Institute of Systematic Botany, University of Zürich, Zürich, Switzerland;ETH Zürich, Plant Ecological Genetics, Institute of Integrative Biology (IBZ), Zürich, Switzerland E-mail: adrian.leuchtmann@env.ethz.ch",Blackwell Publishing Ltd,,64,2,307,316,,1574-6941,copyright,© 2008 Federation of European Microbiological Societies Published by Blackwell Publishing Ltd. All rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j15746941200800452x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200800452x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200800452x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200800452x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratory of Food Biotechnology, Institute of Food Science and Nutrition, ETH Zurich, Zürich, Switzerland",Gwenaëlle Le Blay,ethz,10.1111/j.1574-6941.2006.00164.x,https://doi.org/10.1111/j.1574-6941.2006.00164.x,./femsec/femsec57-2/abstracts/57-2-340.xml,New three-stage in vitro model for infant colonic fermentation with immobilized fecal microbiota,,Cécile Cinquin;Gwenaëlle Le Blay;Ismaïl Fliss;Christophe Lacroix,2006,FEMS Microbiology Ecology,"Dairy Research Centre STELA, Pavillon Paul Comtois, Université Laval, Québec, QC, Canada;Laboratory of Food Biotechnology, Institute of Food Science and Nutrition, ETH Zurich, Zürich, Switzerland;Dairy Research Centre STELA, Pavillon Paul Comtois, Université Laval, Québec, QC, Canada;Laboratory of Food Biotechnology, Institute of Food Science and Nutrition, ETH Zurich, Zürich, Switzerland",Blackwell Publishing Ltd,,57,2,340,342,,1574-6941,copyright,© 2006 Federation of European Microbiological Societies Published by Blackwell Publishing Ltd. All rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j15746941200600164x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200600164x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200600164x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200600164x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Terrestrial Ecology, Swiss Federal Institute of Technology Zürich (ETHZ), CH-8952 Schlieren, Switzerland E-mail: kleikemper@ito.umnw.ethz.ch",Jutta Kleikemper,ethz,10.1111/j.1574-6941.2002.tb01000.x,https://doi.org/10.1111/j.1574-6941.2002.tb01000.x,./femsec/femsec42-1/abstracts/42-1-109.xml,Sulfate-reducing bacterial community response to carbon source amendments in contaminated aquifer microcosms,,Jutta Kleikemper;Oliver Pelz;Martin H. Schroth;Josef Zeyer,2002,FEMS Microbiology Ecology,"Institute of Terrestrial Ecology, Swiss Federal Institute of Technology Zürich (ETHZ), CH-8952 Schlieren, Switzerland E-mail: kleikemper@ito.umnw.ethz.ch;Institute of Terrestrial Ecology, Swiss Federal Institute of Technology Zürich (ETHZ), CH-8952 Schlieren, Switzerland;Institute of Terrestrial Ecology, Swiss Federal Institute of Technology Zürich (ETHZ), CH-8952 Schlieren, Switzerland;Institute of Terrestrial Ecology, Swiss Federal Institute of Technology Zürich (ETHZ), CH-8952 Schlieren, Switzerland",Blackwell Publishing Ltd,,42,1,109,118,,1574-6941,copyright,© 2002 Federation of European Microbiological Societies. Published by Elsevier Science B.V. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j157469412002tb01000x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412002tb01000x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412002tb01000x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469412002tb01000x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Federal Institute of Technology (ETH Zürich), Institute of Terrestrial Ecology, Soil Biology, Grabenstr. 3, 8952 Schlieren, Switzerland",Kornelia Zepp,ethz,10.1111/j.1574-6941.1999.tb00556.x,https://doi.org/10.1111/j.1574-6941.1999.tb00556.x,./femsec/femsec28-1/abstracts/28-1-11.xml,Analysis of Frankia populations in three soils devoid of actinorhizal plants,,Liisa Maunuksela;Kornelia Zepp;Teija Koivula;Josef Zeyer;Kielo Haahtela;Dittmar Hahn,1999,FEMS Microbiology Ecology,"Department of Biosciences, Division of General Microbiology, University of Helsinki, P.O. Box 56 (Viikinkaari 9), FIN-00014 Helsinki, Finland E-mail: liisa.maunuksela@helsinki.fi;Federal Institute of Technology (ETH Zürich), Institute of Terrestrial Ecology, Soil Biology, Grabenstr. 3, 8952 Schlieren, Switzerland;Department of Biosciences, Division of General Microbiology, University of Helsinki, P.O. Box 56 (Viikinkaari 9), FIN-00014 Helsinki, Finland;Federal Institute of Technology (ETH Zürich), Institute of Terrestrial Ecology, Soil Biology, Grabenstr. 3, 8952 Schlieren, Switzerland;Department of Biosciences, Division of General Microbiology, University of Helsinki, P.O. Box 56 (Viikinkaari 9), FIN-00014 Helsinki, Finland;Federal Institute of Technology (ETH Zürich), Institute of Terrestrial Ecology, Soil Biology, Grabenstr. 3, 8952 Schlieren, Switzerland",Blackwell Publishing Ltd,,28,1,11,21,,1574-6941,copyright,© 1999 Federation of European Microbiological Societies. Published by Elsevier Science B.V. All rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j157469411999tb00556x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469411999tb00556x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469411999tb00556x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469411999tb00556x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss Federal Institute for Environmental Science and Technology (EAWAG), Ueberlandstrasse, Duebendorf, Switzerland Board of the Swiss Federal Institutes of Technology, Zurich, Switzerland",Alexander J.B. Zehnder,ethz,10.1111/j.1574-6941.2007.00389.x,https://doi.org/10.1111/j.1574-6941.2007.00389.x,./femsec/femsec62-3/abstracts/62-3-336.xml,Influence of temperature and high acetate concentrations on methanogenensis in lake sediment slurries,,Alla N. Nozhevnikova;Valeria Nekrasova;Adrian Ammann;Alexander J.B. Zehnder;Bernhard Wehrli;Christof Holliger,2007,FEMS Microbiology Ecology,"Institute of Microbiology Russian Academy of Sciences, Moscow, Russia Swiss Federal Institute for Environmental Sciences and Technology (EAWAG), Kastanienbaum, Switzerland;Institute of Microbiology Russian Academy of Sciences, Moscow, Russia;Swiss Federal Institute for Environmental Science and Technology (EAWAG), Ueberlandstrasse, Duebendorf, Switzerland;Swiss Federal Institute for Environmental Science and Technology (EAWAG), Ueberlandstrasse, Duebendorf, Switzerland Board of the Swiss Federal Institutes of Technology, Zurich, Switzerland;Swiss Federal Institute for Environmental Sciences and Technology (EAWAG), Kastanienbaum, Switzerland;Swiss Federal Institute for Environmental Sciences and Technology (EAWAG), Kastanienbaum, Switzerland Ecole Polytechnique Fédérale de Lausanne (EPFL), Laboratory for Environmental Biotechnology, Lausanne, Switzerland E-mail: christof.holliger@epfl.ch",Blackwell Publishing Ltd,,62,3,336,344,,1574-6941,copyright,© 2007 Federation of European Microbiological Societies,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j15746941200700389x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200700389x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200700389x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200700389x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland",Karina Urmann,ethz,10.1111/j.1574-6941.2009.00708.x,https://doi.org/10.1111/j.1574-6941.2009.00708.x,./femsec/femsec69-2/abstracts/69-2-202.xml,Response of methanotrophic activity and community structure to temperature changes in a diffusive CH4/O2 counter gradient in an unsaturated porous medium,,Karina Urmann;Anna Lazzaro;Isabella Gandolfi;Martin H. Schroth;Josef Zeyer,2009,FEMS Microbiology Ecology,"ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland;ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland;ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland;ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland E-mail: martin.schroth@env.ethz.ch;ETH Zurich, Institute of Biogeochemistry and Pollutant Dynamics, Zurich, Switzerland",Blackwell Publishing Ltd,,69,2,202,212,,1574-6941,copyright,© 2009 Federation of European Microbiological Societies. Published by Blackwell Publishing Ltd. All rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j15746941200900708x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200900708x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200900708x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941200900708x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Integrative Biology, Forest Pathology and Dendrology, ETH Zürich, Zürich, Switzerland",Thomas N. Sieber,ethz,10.1111/j.1574-6941.2012.01415.x,https://doi.org/10.1111/j.1574-6941.2012.01415.x,./femsec/femsec82-1/abstracts/82-1-157.xml,Do colonization by dark septate endophytes and elevated temperature affect pathogenicity of oomycetes?,,Christoph Tellenbach;Thomas N. Sieber,2012,FEMS Microbiology Ecology,"Aquatic Ecology, Eawag, Dübendorf, Switzerland E-mail: tellench@eawag.ch;Institute of Integrative Biology, Forest Pathology and Dendrology, ETH Zürich, Zürich, Switzerland",Blackwell Publishing Ltd,,82,1,157,168,,1574-6941,copyright,© 2012 Federation of European Microbiological Societies,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j15746941201201415x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941201201415x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941201201415x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j15746941201201415x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Microbiology, Swiss Federal Institute of Technology, Schmelzbergstrasse 7, 8092 Zürich, Switzerland,",Christian G. Frank,ethz,10.1093/hmg/ddh050,https://doi.org/10.1093/hmg/ddh050,./HMG/hmg13-5/abstracts/ddh050.xml,Deficiency of the first mannosylation step in the N-glycosylation pathway causes congenital disorder of glycosylation type Ik,,Claudia E. Grubenmann;Christian G. Frank;Andreas J. Hülsmeier;Els Schollen;Gert Matthijs;Ertan Mayatepek;Eric G. Berger;Markus Aebi;Thierry Hennet,2004,Human Molecular Genetics,"Institute of Physiology, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland,;Institute of Microbiology, Swiss Federal Institute of Technology, Schmelzbergstrasse 7, 8092 Zürich, Switzerland,;Institute of Physiology, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland,;Center for Human Genetics, Catholic University Leuven, 3000 Leuven, Belgium and;Center for Human Genetics, Catholic University Leuven, 3000 Leuven, Belgium and;Department of General Pediatrics, University Children's Hospital, University of Düsseldorf, Moorenstrasse 5, 40225 Düsseldorf, Germany;Institute of Physiology, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland,;Institute of Microbiology, Swiss Federal Institute of Technology, Schmelzbergstrasse 7, 8092 Zürich, Switzerland,;Institute of Physiology, University of Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland, E-mail: thennet@access.unizh.ch",Oxford University Press,,13,5,535,542,0964-6906,1460-2083,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093hmgddh050,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddh050&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddh050&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddh050&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Biology, Institute of Molecular Health Sciences, Cell Biology, Swiss Federal Institute of Technology, ETH Zurich, Zurich 8093, Switzerland",Elisa Tinelli,ethz,10.1093/hmg/ddt292,https://doi.org/10.1093/hmg/ddt292,./HMG/hmg22-21/abstracts/ddt292.xml,"Muscle-specific function of the centronuclear myopathy and Charcot–Marie–Tooth neuropathy-associated dynamin 2 is required for proper lipid metabolism, mitochondria, muscle fibers, neuromuscular junctions and peripheral nerves",,Elisa Tinelli;Jorge A. Pereira;Ueli Suter,2013,Human Molecular Genetics,"Department of Biology, Institute of Molecular Health Sciences, Cell Biology, Swiss Federal Institute of Technology, ETH Zurich, Zurich 8093, Switzerland;Department of Biology, Institute of Molecular Health Sciences, Cell Biology, Swiss Federal Institute of Technology, ETH Zurich, Zurich 8093, Switzerland;E-mail: ueli.suter@biol.ethz.ch",Oxford University Press,,22,21,4417,4429,0964-6906,1460-2083,copyright,"© The Author 2013. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093hmgddt292,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddt292&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddt292&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddt292&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
