id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)oxford-10.1112/blms/28.2.156,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/blms/28-2-156.pdf,,National Licences: unibe,oxford101112blms282156
(NATIONALLICENCE)oxford-10.1112/blms/18.2.181,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/blms/18-2-181.pdf,,National Licences: uzh,oxford101112blms182181
(NATIONALLICENCE)oxford-10.1112/S0024609305004522,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/blms/37-5-719.pdf,,National Licences: unige,oxford101112S0024609305004522
(NATIONALLICENCE)oxford-10.1093/carcin/bgh158,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/carcin/bgh158.pdf,,National Licences: unil,oxford101093carcinbgh158
(NATIONALLICENCE)oxford-10.1093/icc/dts032,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/indcor/dts032.pdf,,National Licences: ethz,oxford101093iccdts032
(NATIONALLICENCE)oxford-10.1093/icc/dtt011,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/indcor/dtt011.pdf,,National Licences: epfl,oxford101093iccdtt011
(NATIONALLICENCE)oxford-10.1093/icc/dtu038,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/indcor/dtu038.pdf,2018-10-01,National Licences: uzh,oxford101093iccdtu038
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehi357,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehi357.pdf,,National Licences: ethz uzh,oxford101093eurheartjehi357
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehr057,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehr057.pdf,,National Licences: uzh,oxford101093eurheartjehr057
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehr013,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehr013.pdf,,National Licences: unige,oxford101093eurheartjehr013
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv211,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv211.pdf,2018-10-01,National Licences: uzh,oxford101093eurheartjehv211
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv288,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv288.pdf,2018-10-01,National Licences: uzh,oxford101093eurheartjehv288
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehr501,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehr501.pdf,,National Licences: unibas,oxford101093eurheartjehr501
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehs170,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehs170.pdf,,National Licences: ethz uzh,oxford101093eurheartjehs170
(NATIONALLICENCE)oxford-10.1093/eurheartj/eht532,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/eht532.pdf,2017-10-21,National Licences: uzh,oxford101093eurheartjeht532
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehs022,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehs022.pdf,,National Licences: unil,oxford101093eurheartjehs022
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehn510,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehn510.pdf,,National Licences: unibas unibe unige,oxford101093eurheartjehn510
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehn365,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehn365.pdf,,National Licences: unil,oxford101093eurheartjehn365
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehr376,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehr376.pdf,,National Licences: unibas,oxford101093eurheartjehr376
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehs054,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehs054.pdf,,National Licences: uzh,oxford101093eurheartjehs054
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehu425,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehu425.pdf,2018-03-07,National Licences: unibe,oxford101093eurheartjehu425
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehu040,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehu040.pdf,,National Licences: unibe unil,oxford101093eurheartjehu040
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehm449,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehm449.pdf,,National Licences: unibas,oxford101093eurheartjehm449
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehm633,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehm633.pdf,,National Licences: unige,oxford101093eurheartjehm633
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehn031,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehn031.pdf,,National Licences: unibas,oxford101093eurheartjehn031
(NATIONALLICENCE)oxford-10.1016/j.ehj.2003.07.002,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/0.3004962.1763.pdf,,National Licences: unige,oxford101016jehj200307002
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv236,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv236.pdf,2018-10-14,National Licences: unige uzh,oxford101093eurheartjehv236
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehs404,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehs404.pdf,,National Licences: uzh,oxford101093eurheartjehs404
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehp387,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehp387.pdf,,National Licences: unil uzh,oxford101093eurheartjehp387
(NATIONALLICENCE)oxford-10.1093/oxfordjournals.eurheartj.a015164,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/18-11-1712.pdf,,National Licences: unil,oxford101093oxfordjournalseurheartja015164
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehs335,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehs335.pdf,,National Licences: uzh,oxford101093eurheartjehs335
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv245,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv245.pdf,2018-09-01,National Licences: unibas,oxford101093eurheartjehv245
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv164,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv164.pdf,2018-09-01,National Licences: uzh,oxford101093eurheartjehv164
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehv192,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehv192.pdf,2018-09-01,National Licences: unibe unil uzh,oxford101093eurheartjehv192
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehm555,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehm555.pdf,,National Licences: uzh,oxford101093eurheartjehm555
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehq376,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehq376.pdf,,National Licences: uzh,oxford101093eurheartjehq376
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehq519,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehq519.pdf,,National Licences: uzh,oxford101093eurheartjehq519
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehr312,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehr312.pdf,,National Licences: ethz uzh,oxford101093eurheartjehr312
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehq055,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehq055.pdf,,National Licences: unige,oxford101093eurheartjehq055
(NATIONALLICENCE)oxford-10.1093/eurheartj/eht414,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/eht414.pdf,2017-07-14,National Licences: uzh,oxford101093eurheartjeht414
(NATIONALLICENCE)oxford-10.1093/eurheartj/ehn241,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eurheartj/ehn241.pdf,,National Licences: uzh,oxford101093eurheartjehn241
(NATIONALLICENCE)oxford-10.1093/molehr/2.3.139,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/molehr/2-3-139.pdf,,National Licences: unige,oxford101093molehr23139
(NATIONALLICENCE)oxford-10.1093/molehr/2.8.607,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/molehr/2-8-607.pdf,,National Licences: uzh,oxford101093molehr28607
(NATIONALLICENCE)oxford-10.1093/molehr/gal105,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/molehr/gal105.pdf,,National Licences: unige,oxford101093molehrgal105
(NATIONALLICENCE)oxford-10.1016/0035-9203(93)90508-N,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/trstmh/87-2-236.pdf,,National Licences: unige,oxford101016003592039390508N
(NATIONALLICENCE)oxford-10.1016/S0035-9203(01)90222-6,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/trstmh/95-3-238a.pdf,,National Licences: unibas,oxford101016S0035920301902226
(NATIONALLICENCE)oxford-10.1016/0035-9203(87)90365-8,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/trstmh/81-6-960.pdf,,National Licences: unine uzh,oxford1010160035920387903658
(NATIONALLICENCE)oxford-10.1016/0035-9203(85)90086-0,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/trstmh/79-4-527.pdf,,National Licences: unibas,oxford1010160035920385900860
