First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Dept. Altertumswissenschafter, Klassische Archäologie, Universität Basel, Martin-A.Guggisberg@unibas.ch E-mail: Martin-A.Guggisberg@unibas.ch",Martin Guggisberg,unibas,10.1017/S1047759400001811,https://doi.org/10.1017/S1047759400001811,./JRO/JRO25/S1047759400001811h.xml,The Hoxne treasure,,,2012,Journal of Roman Archaeology,,Journal of Roman Archaeology L.L.C.,,25,,804,808,1047-7594,2331-5709,copyright,Copyright © Journal of Roman Archaeology L.L.C. 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1047759400001811,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759400001811&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759400001811&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759400001811&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Leonhardsgraben 46, CH-4051 Basel, simone.mayer@unibas.ch E-mail: simone.mayer@unibas.ch",Simone Mayer,unibas,10.1017/S1047759414001949,https://doi.org/10.1017/S1047759414001949,./JRO/JRO27/S1047759414001949h.xml,An important update of the guidebook to Augusta Raurica,,,2014,Journal of Roman Archaeology,,Journal of Roman Archaeology L.L.C.,2019-01-01,27,,787,791,1047-7594,2331-5709,copyright,Copyright © Journal of Roman Archaeology L.L.C. 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1047759414001949,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759414001949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759414001949&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1047759414001949&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of Basel,Patrick Harries,unibas,10.1017/S0021853714000097,https://doi.org/10.1017/S0021853714000097,./AFH/AFH55_02/S0021853714000097h.xml,MIDDLE PASSAGES OF THE SOUTHWEST INDIAN OCEAN: A CENTURY OF FORCED IMMIGRATION FROM AFRICA TO THE CAPE OF GOOD HOPE,,,2014,The Journal of African History,,Cambridge University Press,2019-07-01,55,2,173,190,0021-8537,1469-5138,copyright,Copyright © Cambridge University Press 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0021853714000097,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021853714000097&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021853714000097&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021853714000097&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Max Planck Institute of Psychiatry, Munich, Germany University of Basel, Department of Psychology, Division of Epidemiology and Health Psychology, Basel, Switzerland",R. Lieb,unibas,10.1017/S0033291711000511,https://doi.org/10.1017/S0033291711000511,./PSM/PSM41_10/S0033291711000511h.xml,Do cannabis and urbanicity co-participate in causing psychosis? Evidence from a 10-year follow-up cohort study,,,2011,Psychological Medicine,,Cambridge University Press,,41,10,2121,2129,0033-2917,1469-8978,copyright,Copyright © Cambridge University Press 2011,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0033291711000511,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291711000511&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291711000511&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291711000511&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Genomics, Life and Brain Center, University of Bonn, Bonn, Germany Institute of Neuroscience and Medicine (INM-1), Research Center Jülich, Jülich, Germany Division of Medical Genetics, Department of Biomedicine, University of Basel, Basel, Switzerland",S. Cichon,unibas,10.1017/S0033291714001159,https://doi.org/10.1017/S0033291714001159,./PSM/PSM45_01/S0033291714001159h.xml,ZNF804A genetic variation (rs1344706) affects brain grey but not white matter in schizophrenia and healthy subjects,,,2015,Psychological Medicine,,Cambridge University Press,2020-01-01,45,1,143,152,0033-2917,1469-8978,copyright,Copyright © Cambridge University Press 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0033291714001159,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714001159&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714001159&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714001159&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Psychiatric Outpatient Department, University Hospital Basel, Basel, Switzerland",S. J. Borgwardt,unibas,10.1017/S0033291712001924,https://doi.org/10.1017/S0033291712001924,./PSM/PSM43_06/S0033291712001924h.xml,Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers,,,2013,Psychological Medicine,,Cambridge University Press,2018-06-01,43,6,1255,1267,0033-2917,1469-8978,copyright,Copyright © Cambridge University Press 2012 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0033291712001924,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291712001924&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291712001924&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291712001924&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Epidemiology and Public Health, Swiss Tropical and Public Health Institute, University of Basel, Switzerland",MITCHELL G. WEISS,unibas,10.1017/S0021932012000697,https://doi.org/10.1017/S0021932012000697,./JBS/JBS45_03/S0021932012000697h.xml,A QUESTION MODULE FOR ASSESSING COMMUNITY STIGMA TOWARDS HIV IN RURAL INDIA,,,2013,Journal of Biosocial Science,,Cambridge University Press,2018-05-01,45,3,359,374,0021-9320,1469-7599,copyright,Copyright © Cambridge University Press 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0021932012000697,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932012000697&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932012000697&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932012000697&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Endocrinology, Chaim Sheba Medical Center, Tel Hashomer, Israel and the Department of Social Medicine, University Hospital for Women, Basle, Switzerland",B. Lunenfeld,unibas,10.1017/S0021932000024056,https://doi.org/10.1017/S0021932000024056,./JBS/JBS10_S5/S0021932000024056h.xml,The ovary learns to ovulate,,,1978,Journal of Biosocial Science,,Cambridge University Press,,10,S5,27,42,0021-9320,1469-7599,copyright,Copyright © Cambridge University Press 1978,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0021932000024056,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932000024056&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932000024056&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0021932000024056&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss Tropical Institute, CH-4051 Basel, Switzerland",D. Stürchler,unibas,10.1017/S0022149X00007951,https://doi.org/10.1017/S0022149X00007951,./JHL/JHL59_03/S0022149X00007951h.xml,Retinol deficiency and Dipetalonema viteae infection in the hamster,,,1985,Journal of Helminthology,,Cambridge University Press,,59,3,201,210,0022-149X,1475-2697,copyright,Copyright © Cambridge University Press 1985,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0022149X00007951,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022149X00007951&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022149X00007951&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022149X00007951&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Mathematics, University of Basel, Rheinsprung 21, CH-4051 Basel, Switzerland. e-mail: sara.checcoli@unibas.ch E-mail: sara.checcoli@unibas.ch",SARA CHECCOLI,unibas,10.1017/S0305004113000042,https://doi.org/10.1017/S0305004113000042,./PSP/PSP155_01/S0305004113000042h.xml,On the Northcott property and other properties related to polynomial mappings,,,2013,Mathematical Proceedings of the Cambridge Philosophical Society,,Cambridge University Press,2018-07-01,155,1,1,12,0305-0041,1469-8064,copyright,Copyright © Cambridge Philosophical Society 2013 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0305004113000042,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0305004113000042&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0305004113000042&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0305004113000042&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
