First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"University Hospital Basel, Basel, Switzerland Kantonsspital Luzern, Herzzentrum, 6000 Luzern 16, Switzerland E-mail: bart.deboeck@ksl.ch","De Boeck, Bart W.L.",unilu,10.1093/eurheartj/ehr104,https://doi.org/10.1093/eurheartj/ehr104,http://doc.rero.ch/record/299853/files/ehr104.pdf,Cardiovascular magnetic resonance imaging for diagnosis and clinical management of suspected cardiac masses and tumours,,"Fussen, Sandra;De Boeck, Bart W.L.;Zellweger, Michael J.;Bremerich, Jens;Goetschalckx, Kaatje;Zuber, Michel;Buser, Peter T.",2011,European Heart Journal,"University Hospital Basel, Basel, Switzerland;University Hospital Basel, Basel, Switzerland Kantonsspital Luzern, Herzzentrum, 6000 Luzern 16, Switzerland E-mail: bart.deboeck@ksl.ch;University Hospital Basel, Basel, Switzerland;University Hospital Basel, Basel, Switzerland;University Hospital Basel, Basel, Switzerland Gasthuisberg University Hospital, Leuven, Belgium;Kantonsspital Luzern, Herzzentrum, 6000 Luzern 16, Switzerland;University Hospital Basel, Basel, Switzerland",Oxford University Press,,32,12,1551,1560,0195-668X,1522-9645,copyright,Published on behalf of the European Society of Cardiology. All rights reserved. © The Author 2011. For permissions please email: journals.permissions@oup.com,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093eurheartjehr104,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehr104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehr104&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehr104&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Kantonsspital Luzern, Luzern, Switzerland Corresponding author: Renan-Ulrich Goetz, Universitat de Girona, Departament d'Economia, Campus Montilivi, 17071 Girona, Spain.","Schmid, Hansjörg",unilu,10.1093/erae/jbi033,https://doi.org/10.1093/erae/jbi033,http://doc.rero.ch/record/293391/files/jbi033.pdf,Determining the economic gains from regulation at the extensive and intensive margins,,"Goetz, Renan-Ulrich;Schmid, Hansjörg;Lehmann, Bernard",2006,European Review of Agricultural Economics,"University of Girona, Girona, Spain Corresponding author: Renan-Ulrich Goetz, Universitat de Girona, Departament d'Economia, Campus Montilivi, 17071 Girona, Spain.;Kantonsspital Luzern, Luzern, Switzerland Corresponding author: Renan-Ulrich Goetz, Universitat de Girona, Departament d'Economia, Campus Montilivi, 17071 Girona, Spain.;Swiss Federal Institute of Technology, Zürich, Switzerland Corresponding author: Renan-Ulrich Goetz, Universitat de Girona, Departament d'Economia, Campus Montilivi, 17071 Girona, Spain.",Oxford University Press,,33,1,1,30,0165-1587,1464-3618,copyright,"© Oxford University Press and Foundation for the European Review of Agricultural Economics 2005; all rights reserved. For permissions, please email journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093eraejbi033,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eraejbi033&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eraejbi033&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eraejbi033&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Lucerne University of Applied Sciences and Arts, Lucerne, Switzerland Department of Music, University of Sheffield, Sheffield, UK","Williamson, V.J.",unilu,10.1093/cercor/bhu075,https://doi.org/10.1093/cercor/bhu075,http://doc.rero.ch/record/304403/files/bhu075.pdf,Pitch Memory in Nonmusicians and Musicians: Revealing Functional Differences Using Transcranial Direct Current Stimulation,,"Schaal, N.K.;Krause, V.;Lange, K.;Banissy, M.J.;Williamson, V.J.;Pollok, B.",2015,Cerebral Cortex,"Department of Experimental Psychology, Heinrich-Heine-University, Düsseldorf, Germany;Institute of Clinical Neuroscience and Medical Psychology, Medical Faculty, Heinrich-Heine-University, Düsseldorf, Germany;Department of Experimental Psychology, Heinrich-Heine-University, Düsseldorf, Germany;Department of Psychology, Goldsmiths University of London, London, UK;Lucerne University of Applied Sciences and Arts, Lucerne, Switzerland Department of Music, University of Sheffield, Sheffield, UK;Institute of Clinical Neuroscience and Medical Psychology, Medical Faculty, Heinrich-Heine-University, Düsseldorf, Germany",Oxford University Press,2018-09-01,25,9,2774,2782,1047-3211,1460-2199,copyright,"© The Author 2014. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093cercorbhu075,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu075&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu075&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093cercorbhu075&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Institut für Sozialethik Universitäre Hochschule Luzern Postfach 7424 CH-6000 Luzern 7,"Münk, Hans J.",unilu,10.14315/zee-1999-0136,https://doi.org/10.14315/zee-1999-0136,http://doc.rero.ch/record/290153/files/zee-1999-0136.pdf,>Starke< oder >schwache< Nachhaltigkeit?,Theologisch-ethische Überlegungen zur ökologischen Grundkomponente des Sustainability-Leitbilds,"Münk, Hans J.",1999,Zeitschrift für Evangelische Ethik,Institut für Sozialethik Universitäre Hochschule Luzern Postfach 7424 CH-6000 Luzern 7,Gütersloher Verlagshaus,,43,1,277,293,,2197-912X,copyright,© 2014 by Gütersloher Verlagshaus,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter1014315zee19990136,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee19990136&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee19990136&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee19990136&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch Institute of Social and Preventive Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch *To whom correspondence should be addressed For the SEMOF research group (alphabetical order): D. Büche (State Hospital, St. Gall); M. Dambacher (Balgrist Clinic, Zürich); F. Hartl (University Hospital, Basel); H. Häuselmann (University Hospital, Zürich); K. Lippuner (University Outpatient clinic, Bern); M. Neff (Osteoporosis Center, Zürich); P. Pancaldi (Osteoporosis Center, Locarno); R. Rizzoli (University Hospital, Geneva); F. Tanzi (Osteoporosis Center, Lugano); R. Theiler (State Hospital, Aarau); A. Tyndall (University Hospital, Basel); C. Wimpfheimer, (Private practice, Luzern)","Cornuz, Jacques",unilu,10.1093/ageing/afg099b,https://doi.org/10.1093/ageing/afg099b,http://doc.rero.ch/record/296554/files/afg099b.pdf,Factors associated with the use of hormone replacement therapy among older women,,"Cornuz, Jacques;Krieg, Marc-Antoine;Sandini, Lorenzo;Ruffieux, Christiane;Van Melle, Guy;Burckhardt, Peter",2003,Age and Ageing,"Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch Institute of Social and Preventive Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch *To whom correspondence should be addressed For the SEMOF research group (alphabetical order): D. Büche (State Hospital, St. Gall); M. Dambacher (Balgrist Clinic, Zürich); F. Hartl (University Hospital, Basel); H. Häuselmann (University Hospital, Zürich); K. Lippuner (University Outpatient clinic, Bern); M. Neff (Osteoporosis Center, Zürich); P. Pancaldi (Osteoporosis Center, Locarno); R. Rizzoli (University Hospital, Geneva); F. Tanzi (Osteoporosis Center, Lugano); R. Theiler (State Hospital, Aarau); A. Tyndall (University Hospital, Basel); C. Wimpfheimer, (Private practice, Luzern);Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch;Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch;Institute of Social and Preventive Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch;Institute of Social and Preventive Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch;Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch",Oxford University Press,,32,6,675,678,0002-0729,1468-2834,copyright,© British Geriatrics Society,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ageingafg099b,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland 3 Department of Internal Medicine, Center of Neurology and Neurorehabilitation, Luzerner Kantonsspital, 6000 Luzern 16, Switzerland","Bohlhalter, Stephan",unilu,10.1093/brain/aws182,https://doi.org/10.1093/brain/aws182,http://doc.rero.ch/record/295026/files/aws182.pdf,Theta burst stimulation reduces disability during the activities of daily living in spatial neglect,,"Cazzoli, Dario;Müri, René M.;Schumacher, Rahel;Von Arx, Sebastian;Chaves, Silvia;Gutbrod, Klemens;Bohlhalter, Stephan;Bauer, Daniel;Vanbellingen, Tim;Bertschi, Manuel;Kipfer, Stefan;Rosenthal, Clive R.;Kennard, Christopher;Bassetti, Claudio L.;Nyffeler, Thomas",2012,Brain,"1 Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford, OX3 9DU, UK 2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland 3 Department of Internal Medicine, Center of Neurology and Neurorehabilitation, Luzerner Kantonsspital, 6000 Luzern 16, Switzerland;3 Department of Internal Medicine, Center of Neurology and Neurorehabilitation, Luzerner Kantonsspital, 6000 Luzern 16, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;1 Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford, OX3 9DU, UK;1 Nuffield Department of Clinical Neurosciences, University of Oxford, Oxford, OX3 9DU, UK;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland;2 Departments of Neurology and Clinical Research, Perception and Eye Movement Laboratory, Inselspital, Bern University Hospital, and University of Bern, 3010 Bern, Switzerland 3 Department of Internal Medicine, Center of Neurology and Neurorehabilitation, Luzerner Kantonsspital, 6000 Luzern 16, Switzerland E-mail: thomas.nyffeler@gmail.com",Oxford University Press,,135,11,3426,3439,0006-8950,1460-2156,copyright,"© The Author (2012). Published by Oxford University Press on behalf of the Guarantors of Brain. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093brainaws182,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainaws182&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainaws182&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainaws182&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Universität Luzern,"Redman, Lauren Fielder",unilu,10.1017/S0022278X09990279,https://doi.org/10.1017/S0022278X09990279,http://doc.rero.ch/record/292159/files/S0022278X09990279.pdf,Book Review: Gender and Sexuality in African Literature and Film,"Gender and Sexuality in African Literature and Film edited and introduced by Uzoamaka AzodoAda and Ngozi EkeMaureen Trenton, NJ: African World Press, 2007. Pp. 333, US$34.95 (pbk).","Redman, Lauren Fielder",2010,The Journal of Modern African Studies,Universität Luzern,Cambridge University Press,,48,1,171,172,0022-278X,1469-7777,copyright,Copyright © Cambridge University Press 2010,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0022278X09990279,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022278X09990279&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022278X09990279&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022278X09990279&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"i-call research centre, Faculty of Law, University of Lucerne, Switzerland. Email: karolina.kuprecht@unilu.ch E-mail: karolina.kuprecht@unilu.ch","Kuprecht, Karolina",unilu,10.1017/S0940739112000057,https://doi.org/10.1017/S0940739112000057,http://doc.rero.ch/record/296470/files/S0940739112000057.pdf,The Concept of “Cultural Affiliation” in NAGPRA: Its Potential and Limits in the Global Protection of Indigenous Cultural Property Rights,,"Kuprecht, Karolina",2012,International Journal of Cultural Property,"i-call research centre, Faculty of Law, University of Lucerne, Switzerland. Email: karolina.kuprecht@unilu.ch E-mail: karolina.kuprecht@unilu.ch",Cambridge University Press,,19,1,33,63,0940-7391,1465-7317,copyright,Copyright © International Cultural Property Society 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0940739112000057,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0940739112000057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0940739112000057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0940739112000057&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 Universität Luzern, Philosophisches Seminar, Luzern 7, Schweiz  Universität Luzern, Philosophisches Seminar, Luzern 7, Schweiz","Schildknecht, Christiane",unilu,10.1524/dzph.2008.0061,https://doi.org/10.1524/dzph.2008.0061,http://doc.rero.ch/record/302075/files/dzph.2008.0061.pdf,Klarheit in Philosophie und Literatur. Überlegungen im Anschluss an Peter Bieri,,"Schildknecht, Christiane",2008,Deutsche Zeitschrift für Philosophie,"1 Universität Luzern, Philosophisches Seminar, Luzern 7, Schweiz  Universität Luzern, Philosophisches Seminar, Luzern 7, Schweiz",Akademie Verlag GmbH,,56,5,781,787,0012-1045,,copyright,"© by Akademie Verlag, Berlin, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524dzph20080061,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080061&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080061&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524dzph20080061&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
" Universität Luzern, Soziologisches Seminar","Diaz-Bone, Rainer",unilu,10.1524/srsr.2011.0017,https://doi.org/10.1524/srsr.2011.0017,http://doc.rero.ch/record/294708/files/srsr.2011.0017.pdf,Symposium zu: Luc Boltanski / Laurent Thévenot: Über die Rechtfertigung. Eine Soziologie der kritischen Urteilskraft,,"Diaz-Bone, Rainer;Wagner, Peter;Dellwing, Michael;Spohr, Michèle",2011,Soziologische Revue," Universität Luzern, Soziologisches Seminar; Universitat de Barcelona; Universität Kassel, Fachbereich Gesellschaftswissenschaften; Universität Kassel, Fachbereich Gesellschaftswissenschaften",Oldenbourg Wissenschaftsverlag GmbH,,34,3,263,283,0343-4109,,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524srsr20110017,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110017&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110017&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
