First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Institute of Zoology, University of Neuchâtel, CH-2000 Neuchâtel, Switzerland","Lengeler, Christian",unine,10.1016/0035-9203(87)90365-8,https://doi.org/10.1016/0035-9203(87)90365-8,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/trstmh/81-6-960.pdf,Sero-epidemiological survey for alveolar echinococcosis (by Em2-ELISA) of blood donors in an endemic area of Switzerland,,"Gottstein, Bruno;Lengeler, Christian;Bachmann, Pierre;Hagemann, Peter;Kocher, Pierre;Brossard, Michel;Witassek, Felix;Eckert, Johannes",1987,Transactions of The Royal Society of Tropical Medicine and Hygiene,"Institute of Parasitology, University of Zürich, CH-8057 Zürich, Switzerland;Institute of Zoology, University of Neuchâtel, CH-2000 Neuchâtel, Switzerland;Central Laboratory, Blood Transfusion Service, Swiss Red Cross, CH-3000 Bern, Switzerland;Central Laboratory, Kantonsspital, CH-8596 Münsterlingen, Switzerland;Blood Transfusion Centre of La-Chaux-de-Fonds, CH-2300 La Chaux-de-Fonds, Switzerland;Institute of Zoology, University of Neuchâtel, CH-2000 Neuchâtel, Switzerland;Institute of Parasitology, University of Zürich, CH-8057 Zürich, Switzerland;Institute of Parasitology, University of Zürich, CH-8057 Zürich, Switzerland",Royal Society of Tropical Medicine and Hygiene,,81,6,960,964,0035-9203,1878-3503,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford1010160035920387903658,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920387903658&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920387903658&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford1010160035920387903658&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Zoology, University of Neuchâtel, Neuchâtel, Switzerland","Gern, Lise",unine,10.1086/315862,https://doi.org/10.1086/315862,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/jid/182-5-1455.pdf,Antigenic Conservation of an Immunodominant Invariable Region of the VlsE Lipoprotein among European Pathogenic Genospecies of Borrelia burgdorferi SL,,"Liang, Fang Ting;Aberer, Elisabeth;Cinco, Marina;Gern, Lise;Hu, Chang Min;Lobet, Yves N.;Ruscio, Maurizio;Voet, Pierre E.;Weynants, Vincent E.;Philipp, Mario T.",2000,The Journal of Infectious Diseases,"Department of Parasitology, Tulane Regional Primate Research Center, Tulane University Health Sciences Center, Covington, Louisiana;Department of Dermatology, University of Graz, Graz, Austria;Department of Biomedical Sciences, Universitá Trieste, Trieste, Italy;Institute of Zoology, University of Neuchâtel, Neuchâtel, Switzerland;Institute of Zoology, University of Neuchâtel, Neuchâtel, Switzerland;SmithKline Beecham Biologicals, Rixensart, Belgium;Microbiology Department, Hospital of Gemona, Gemona, Italy;SmithKline Beecham Biologicals, Rixensart, Belgium;SmithKline Beecham Biologicals, Rixensart, Belgium;Department of Parasitology, Tulane Regional Primate Research Center, Tulane University Health Sciences Center, Covington, Louisiana E-mail: philipp@tpc.tulane.edu",The University of Chicago Press,,182,5,1455,1462,0022-1899,1537-6613,copyright,© 2000 by the Infectious Diseases Society of America,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086315862,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315862&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315862&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086315862&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland","Steck, Nicole",unine,10.1093/ije/dyu010,https://doi.org/10.1093/ije/dyu010,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/ije/dyu010.pdf,Suicide assisted by right-to-die associations: a population based cohort study,,"Steck, Nicole;Junker, Christoph;Maessen, Maud;Reisch, Thomas;Zwahlen, Marcel;Egger, Matthias",2014,International Journal of Epidemiology,"Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2Federal Statistical Office, Neuchâtel, Switzerland and 3Hospital of Psychiatry Muensingen and University Hospital of Psychiatry Bern, Bern, Switzerland *Corresponding author. Institute of Social and Preventive Medicine, University of Bern, Finkenhubelweg 11, 3012 Bern, Switzerland.",Oxford University Press,,43,2,614,622,0300-5771,1464-3685,copyright,© The Author 2014; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ijedyu010,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu010&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu010&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu010&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Zoology, Department of Immunology, Rue Emile Argand 9, CH-2007 Neuchâtel, University of Neuchâtel, Switzerland","Mejri, Naceur",unine,10.1093/intimm/dxm019,https://doi.org/10.1093/intimm/dxm019,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/intimm/dxm019.pdf,Splenic dendritic cells pulsed with Ixodes ricinus tick saliva prime naive CD4+T to induce Th2 cell differentiation in vitro and in vivo,,"Mejri, Naceur;Brossard, Michel",2007,International Immunology,"Institute of Zoology, Department of Immunology, Rue Emile Argand 9, CH-2007 Neuchâtel, University of Neuchâtel, Switzerland;Institute of Zoology, Department of Immunology, Rue Emile Argand 9, CH-2007 Neuchâtel, University of Neuchâtel, Switzerland E-mail: michel.brossard@unine.ch",Oxford University Press,,19,4,535,543,0953-8178,1460-2377,copyright,"© The Japanese Society for Immunology. 2007. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093intimmdxm019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimmdxm019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimmdxm019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093intimmdxm019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institut de Géologie, Université de Neuchatel, Switzerland,","Schnegg, Pierre-André",unine,10.1046/j.0956-540x.2001.01555.x,https://doi.org/10.1046/j.0956-540x.2001.01555.x,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/gji/147-3-602.pdf,Microscopic scale conductivity as explanation of magnetotelluric results from the Alps of Western Switzerland,,"Losito, Gabriella;Schnegg, Pierre-André;Lambelet, Candice;Viti, Cecilia;Trova, Antonello",2001,Geophysical Journal International,"Dipartimento di Ingegneria Civile, University of Florence, Via di S. Marta, 3, 50139, Florence, Italy, E-mail: Losito@dicea.unifi.it E-mail: Losito@dicea.unifi.it;Institut de Géologie, Université de Neuchatel, Switzerland,;Institut de Géologie, Université de Neuchatel, Switzerland,;Dipartimento di Scienze della Terra, University of Siena, Italy;Dipartimento di Ingegneria Civile, University of Florence, Via di S. Marta, 3, 50139, Florence, Italy, E-mail: Losito@dicea.unifi.it E-mail: Losito@dicea.unifi.it",Blackwell Publishing Ltd,,147,3,602,609,0956-540X,1365-246X,copyright,© 2001 RAS,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101046j0956540x200101555x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101046j0956540x200101555x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101046j0956540x200101555x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101046j0956540x200101555x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institut de Géologie, Université de Neuchâtel, Switzerland","Sue, Christian",unine,10.1111/j.1365-246X.2004.02320.x,https://doi.org/10.1111/j.1365-246X.2004.02320.x,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/gji/158-2-753.pdf,Present-day geodynamics in the bend of the western and central Alps as constrained by earthquake analysis,,"Delacou, Bastien;Sue, Christian;Champagnac, Jean-Daniel;Burkhard, Martin",2004,Geophysical Journal International,"E-mail: Bastien.Delacou@unine.ch;Institut de Géologie, Université de Neuchâtel, Switzerland;Institut de Géologie, Université de Neuchâtel, Switzerland;Institut de Géologie, Université de Neuchâtel, Switzerland",Blackwell Publishing Ltd,,158,2,753,774,0956-540X,1365-246X,copyright,© 2004 RAS,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j1365246X200402320x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j1365246X200402320x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j1365246X200402320x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j1365246X200402320x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"INSTITUT DE GÉOLOGIE, UNIVERSITÉ DE NEUCHÂTEL RUE EMILE ARGAND 11, CH-2007 NEUCHÂTEL, SWITZERLAND","Kalt, Angelika",unine,10.1093/petrology/egl031,https://doi.org/10.1093/petrology/egl031,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/petroj/egl031.pdf,Syros Metasomatic Tourmaline: Evidence for Very High-δ11B Fluids in Subduction Zones,,"Marschall, Horst R.;Ludwig, Thomas;Altherr, Rainer;Kalt, Angelika;Tonarini, Sonia",2006,Journal of Petrology,"MINERALOGISCHES INSTITUT, UNIVERSITÄT HEIDELBERG IM NEUENHEIMER FELD 236, D-69120 HEIDELBERG, GERMANY E-mail: Horst.Marschall@bristol.ac.uk;MINERALOGISCHES INSTITUT, UNIVERSITÄT HEIDELBERG IM NEUENHEIMER FELD 236, D-69120 HEIDELBERG, GERMANY;MINERALOGISCHES INSTITUT, UNIVERSITÄT HEIDELBERG IM NEUENHEIMER FELD 236, D-69120 HEIDELBERG, GERMANY;INSTITUT DE GÉOLOGIE, UNIVERSITÉ DE NEUCHÂTEL RUE EMILE ARGAND 11, CH-2007 NEUCHÂTEL, SWITZERLAND;ISTITUTO DI GEOSCIENZE E GEORISORSE, CNR VIA MORUZZI 1, I-56124 PISA, ITALY",Oxford University Press,,47,10,1915,1942,0022-3530,1460-2415,copyright,"© The Author 2006. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093petrologyegl031,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegl031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegl031&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegl031&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Geologisch-Paläontologisches Institut, University of Basel, Bernoullistr. 32, Ch-4056 Basel, Switzerland Rue Fontaine-AndrÉ 5, 2000 Neuchâtel, Switzerland","Bucher, Stefan",unine,10.1093/petrology/egu007,https://doi.org/10.1093/petrology/egu007,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/petroj/egu007.pdf,Dating Polygenetic Metamorphic Assemblages along a Transect across the Western Alps,,"Villa, Igor M.;Bucher, Stefan;Bousquet, Romain;Kleinhanns, Ilka C.;Schmid, Stefan M.",2014,Journal of Petrology,"Institut Für Geologie, Universität Bern, Baltzerstr. 3, Ch-3012 Bern, Switzerland Centro Universitario Datazioni E Archeometria, Università Di Milano Bicocca, 20126 Milano, Italy E-mail: igor@geo.unibe.ch;Geologisch-Paläontologisches Institut, University of Basel, Bernoullistr. 32, Ch-4056 Basel, Switzerland Rue Fontaine-AndrÉ 5, 2000 Neuchâtel, Switzerland;Geologisch-Paläontologisches Institut, University of Basel, Bernoullistr. 32, Ch-4056 Basel, Switzerland;Institut Für Geologie, Universität Bern, Baltzerstr. 3, Ch-3012 Bern, Switzerland;Geologisch-Paläontologisches Institut, University of Basel, Bernoullistr. 32, Ch-4056 Basel, Switzerland",Oxford University Press,,55,4,803,830,0022-3530,1460-2415,copyright,"© The Author 2014. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093petrologyegu007,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegu007&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegu007&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093petrologyegu007&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratoire de Biologie du sol, Département de Biologie, Université de Neuchâtel, Neuchâtel, Switzerland E-mail: enrique.lara@unine.ch","Lara, Enrique",unine,10.1093/plankt/fbv016,https://doi.org/10.1093/plankt/fbv016,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/plankt/fbv016.pdf,Planktonic eukaryote molecular diversity: discrimination of minerotrophic and ombrotrophic peatland pools in Tierra del Fuego (Argentina),,"Lara, Enrique;Seppey, Christophe V. W.;Garraza, Gabriela González;Singer, David;Quiroga, Maria Victoria;Mataloni, Gabriela",2015,Journal of Plankton Research,"Laboratoire de Biologie du sol, Département de Biologie, Université de Neuchâtel, Neuchâtel, Switzerland E-mail: enrique.lara@unine.ch;Laboratoire de Biologie du sol, Département de Biologie, Université de Neuchâtel, Neuchâtel, Switzerland;Grupo de Biodiversidad, Limnología y Biología de la Conservación, 3IA – Instituto de Investigación e Ingeniería Ambiental, Universidad Nacional de San Martín, Buenos Aires, Argentina;Laboratoire de Biologie du sol, Département de Biologie, Université de Neuchâtel, Neuchâtel, Switzerland;Laboratorio de Ecología y Fotobiología Acuática, Instituto de Investigaciones Biotecnológicas–Instituto Tecnológico de Chascomús (IIB-INTECH), Unsam-Conicet, Argentina;Grupo de Biodiversidad, Limnología y Biología de la Conservación, 3IA – Instituto de Investigación e Ingeniería Ambiental, Universidad Nacional de San Martín, Buenos Aires, Argentina E-mail: enrique.lara@unine.ch",Oxford University Press,2018-05-01,37,3,645,655,0142-7873,1464-3774,copyright,"© The Author 2015. Published by Oxford University Press. All rights reserved. For permissions, please email: journals.permissions@oup.com.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093planktfbv016,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093planktfbv016&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093planktfbv016&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093planktfbv016&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Professor of International Law at the Universities of Neuchâtel, Berne and Geneva (University Center of International Humanitarian Law)","Kolb, Robert",unine,10.1093/rsq/hdi0282,https://doi.org/10.1093/rsq/hdi0282,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/refqtl/hdi0282.pdf,The Eternal Problem of Collective Security: From the League of Nations to the United Nations,,"Kolb, Robert",2007,Refugee Survey Quarterly,"Professor of International Law at the Universities of Neuchâtel, Berne and Geneva (University Center of International Humanitarian Law)",Oxford University Press,,26,4,220,225,1020-4067,1471-695X,copyright,"© UNHCR 2007, all rights reserved",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093rsqhdi0282,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0282&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0282&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rsqhdi0282&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
