First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
University of St. Gallen,Florian Wettstein,unisg,10.5840/beq201222446,https://doi.org/10.5840/beq201222446,./BEQ/BEQ22_04/S1052150X00005261h.xml,CSR and the Debate on Business and Human Rights: Bridging the Great Divide,,,2012,Business Ethics Quarterly,,Cambridge University Press,2017-10-01,22,4,739,770,1052-150X,2153-3326,copyright,Copyright © Society for Business Ethics 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge105840beq201222446,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge105840beq201222446&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge105840beq201222446&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge105840beq201222446&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St. Gallen and CESifo (Kolmar), University of Munich, Ifo Institute for Economic Research and CESifo (Meier) E-mail: martin.kolmar@unisg.ch",MARTIN KOLMAR,unisg,10.1017/S147474721200011X,https://doi.org/10.1017/S147474721200011X,./PEF/PEF11_04/S147474721200011Xh.xml,Intragenerational externalities and intergenerational transfers,,,2012,Journal of Pension Economics and Finance,,Cambridge University Press,2017-10-01,11,4,531,548,1474-7472,1475-3022,copyright,Copyright © Cambridge University Press 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S147474721200011X,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S147474721200011X&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S147474721200011X&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S147474721200011X&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Empa, Swiss Federal Laboratories for Materials Testing and Research, CH-9014 St. Gallen, Switzerland; and Department of Physics and Materials Science, Uppsala University, SE-751 21 Uppsala, Sweden E-mail: Paul.Bruehwiler@empa.ch",Paul A. Brühwiler,unisg,10.1557/JMR.2010.0139,https://doi.org/10.1557/JMR.2010.0139,./JMR/JMR25_06/S0884291400007111h.xml,Comparison of quasistatic to impact mechanical properties of multiwall carbon nanotube/polycarbonate composites,,,2010,Journal of Materials Research,,Cambridge University Press,,25,6,1118,1130,0884-2914,2044-5326,copyright,Copyright © Materials Research Society 2010,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101557JMR20100139,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101557JMR20100139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101557JMR20100139&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101557JMR20100139&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Universität St. Gallen HSG RISE Management Research Dufourstrasse 40a CH-9000 St.Gallen,Simon Grand,unisg,10.14315/zee-2007-0205,https://doi.org/10.14315/zee-2007-0205,./j/zee.2007.51.issue-2/zee-2007-0205/zee-2007-0205.xml,Managementforschung und theologische Ethik im Diskurs: Beobachtungen und Reflexionen aus der »Trading Zone« von Management und Religion,,,2007,Zeitschrift für Evangelische Ethik,,Gütersloher Verlagshaus,,51,2,129,145,,2197-912X,copyright,© 2014 by Gütersloher Verlagshaus,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter1014315zee20070205,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee20070205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee20070205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1014315zee20070205&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Universität St. Gallen,Lars P. Feld,unisg,10.1111/1468-2516.00011,https://doi.org/10.1111/1468-2516.00011,./j/pwp.2000.1.issue-2/1468-2516.00011/1468-2516.00011.xml,Fiskalischer Wettbewerb und Einkommensumverteilung,,,2000,Perspektiven der Wirtschaftspolitik,,De Gruyter,,1,2,181,198,1465-6493,1468-2516,copyright,© 2014 by Walter de Gruyter GmbH & Co.,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter1011111468251600011,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600011&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600011&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St. Gallen and CESifo, Varnbüelstrasse 14, St Gallen CH-9000, Switzerland",Christina Felfe,unisg,10.1515/bejeap-2013-0131,https://doi.org/10.1515/bejeap-2013-0131,./j/bejeap.2014.14.issue-4/bejeap-2013-0131/bejeap-2013-0131.xml,After-School Center-Based Care and Children’s Development,,,2014,The B.E. Journal of Economic Analysis & Policy,,De Gruyter,,14,4,1299,1336,2194-6108,1935-1682,copyright,©2014 by De Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515bejeap20130131,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20130131&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20130131&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515bejeap20130131&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"zeno.adams@unisg.ch, Swiss Institute of Banking and Finance, University of St. Gallen, Rosenbergstrasse 52, 9000 St. Gallen, Switzerland E-mail: zeno.adams@unisg.ch",Zeno Adams,unisg,10.1017/S0022109014000325,https://doi.org/10.1017/S0022109014000325,./JFQ/JFQ49_03/S0022109014000325h.xml,Spillover Effects among Financial Institutions: A State-Dependent Sensitivity Value-at-Risk Approach,,,2014,Journal of Financial and Quantitative Analysis,,Cambridge University Press,2019-06-01,49,3,575,598,0022-1090,1756-6916,copyright,"Copyright © Michael G. Foster School of Business, University of Washington 2014 ",cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0022109014000325,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022109014000325&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022109014000325&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022109014000325&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 Universität St. Gallen, St. Gallen, Schweiz  Universität St. Gallen, St. Gallen, Schweiz",Kurt Dopfer,unisg,10.1524/jbwg.2009.0003,https://doi.org/10.1524/jbwg.2009.0003,./j/jbwg.2009.50.issue-1/jbwg.2009.0003/jbwg.2009.0003.xml,Wie viel Geschichte braucht die Ökonomie? Das Verhältnis von Theorie und Geschichte in evolutionstheoretischer InterpretationHow Much History Does Economics Need? Theory and History in an Evolutionary Perspective,,,2009,Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,,Akademie Verlag GmbH,,50,1,53,76,0075-2800,,copyright,"© by Akademie Verlag, Berlin, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524jbwg20090003,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524jbwg20090003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524jbwg20090003&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524jbwg20090003&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Universität St. Gallen, SIAW-HSG, Bodanstrasse 8, CH-9000 St. Gallen",Gebhard Kirchgässner,unisg,10.1111/1468-2516.00241,https://doi.org/10.1111/1468-2516.00241,./j/pwp.2007.8.issue-s1/1468-2516.00241/1468-2516.00241.xml,Öffentliche Investitionen und Infrastrukturleistungen bei knappen Staatsfinanzen,,,2007,Perspektiven der Wirtschaftspolitik,,De Gruyter,,8,Supplement,1,5,1465-6493,1468-2516,copyright,© 2014 by Walter de Gruyter GmbH & Co.,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter1011111468251600241,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600241&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600241&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter1011111468251600241&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 University of St. Gallen, Department of Law. University of St. Gallen, Department of Law.",Kristoffel Grechenig,unisg,10.1515/ECFR.2007.028,https://doi.org/10.1515/ECFR.2007.028,./j/ecfr.2007.4.issue-4/ecfr.2007.028/ecfr.2007.028.xml,Discriminating Shareholders through the Exclusion of Pre-emption Rights? – The European Infringement Proceeding against Spain (C-338/06) –,,,2007,European Company and Financial Law Review,,Walter de Gruyter,,4,4,571,592,1613-2548,1613-2556,copyright,© Walter de Gruyter,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101515ECFR2007028,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ECFR2007028&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ECFR2007028&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101515ECFR2007028&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
