publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Abstracts of Working Papers in Economics	0951-0079	0951-0079	1986	1		2004	21		http://www.cambridge.org/core/product/identifier/PYE/type/JOURNAL		PYE		fulltext		Cambridge University Press	Serial								
Acta Neuropsychiatrica	0924-2708	1601-5215	1988	1		2016	28		http://www.cambridge.org/core/product/identifier/NEU/type/JOURNAL		NEU		fulltext		Cambridge University Press	Serial								
Acta Numerica	0962-4929	1474-0508	1992	1		2016	25		http://www.cambridge.org/core/product/identifier/ANU/type/JOURNAL		ANU		fulltext		Cambridge University Press	Serial								
Africa: The Journal of the International African Institute	0001-9720	1750-0184	1928	1		2016	86		http://www.cambridge.org/core/product/identifier/AFR/type/JOURNAL		AFR		fulltext		Cambridge University Press	Serial								
African Studies Review	0002-0206	1555-2462	1958	1		2016	59		http://www.cambridge.org/core/product/identifier/ASR/type/JOURNAL		ASR		fulltext		Cambridge University Press	Serial								
Ageing and Society	0144-686X	1469-1779	1981	1		2016	36		http://www.cambridge.org/core/product/identifier/ASO/type/JOURNAL		ASO		fulltext		Cambridge University Press	Serial								
AI EDAM	0890-0604	1469-1760	1987	1		2016	30		http://www.cambridge.org/core/product/identifier/AIE/type/JOURNAL		AIE		fulltext		Cambridge University Press	Serial								
AJS Review	0364-0094	1475-4541	1976	1		2015	39		http://www.cambridge.org/core/product/identifier/AJS/type/JOURNAL		AJS		fulltext		Cambridge University Press	Serial								
Albion - sister publication of Journal of British Studies JBR	0095-1390	2326-1242	1969	1		2005	36		http://www.cambridge.org/core/product/identifier/ALB/type/JOURNAL		ALB		fulltext		Cambridge University Press	Serial								
American Political Science Review	0003-0554	1537-5943	1906	1		2016	110		http://www.cambridge.org/core/product/identifier/PSR/type/JOURNAL		PSR		fulltext		Cambridge University Press	Serial								
Anatolian Studies	0066-1546	2048-0849	1951	1		2016	66		http://www.cambridge.org/core/product/identifier/ANK/type/JOURNAL		ANK		fulltext		Cambridge University Press	Serial								
Ancient Mesoamerica	0956-5361	1469-1787	1990	1		2016	27		http://www.cambridge.org/core/product/identifier/ATM/type/JOURNAL		ATM		fulltext		Cambridge University Press	Serial								
Anglo-Saxon England	0263-6751	1474-0532	1972	1		2016	45		http://www.cambridge.org/core/product/identifier/ASE/type/JOURNAL		ASE		fulltext		Cambridge University Press	Serial								
Animal Genetic Resources/Resources génétiques animales/Recursos genéticos animales	2078-6336	2078-6344	1983	1		2015	57		http://www.cambridge.org/core/product/identifier/AGR/type/JOURNAL		AGR		fulltext		Cambridge University Press	Serial								
Animal Science	1357-7298	1748-748X	1959	1		2006	82		http://www.cambridge.org/core/product/identifier/ASC/type/JOURNAL		ASC		fulltext		Cambridge University Press	Serial								
Animal Science - part of  - Proceedings of the British Society of Animal Production (1972)	0308-2296	2053-5880	1972	1		1975	4		http://www.cambridge.org/core/product/identifier/PBA/type/JOURNAL		PBA		fulltext		Cambridge University Press	Serial								
Animal Science - part of  - Proceedings of the British Society of Animal Production (1972)	0308-2296	2053-5880	1984	1984		1994	1994		http://www.cambridge.org/core/product/identifier/PBA/type/JOURNAL		PBA		fulltext		Cambridge University Press	Serial								
Annual of the British School at Athens	0068-2454	2045-2403	1894	1		2016	111		http://www.cambridge.org/core/product/identifier/ATH/type/JOURNAL		ATH		fulltext		Cambridge University Press	Serial								
Annual Review of Applied Linguistics	0267-1905	1471-6356	1980	1		2016	36		http://www.cambridge.org/core/product/identifier/APL/type/JOURNAL		APL		fulltext		Cambridge University Press	Serial								
Antichthon	0066-4774	2056-8819	1967	1		2016	50		http://www.cambridge.org/core/product/identifier/ANN/type/JOURNAL		ANN		fulltext		Cambridge University Press	Serial								
Antiquaries Journal	0003-5815	1758-5309	1921	1		2016	96		http://www.cambridge.org/core/product/identifier/ANT/type/JOURNAL		ANT		fulltext		Cambridge University Press	Serial								
Antiquaries Journal - previous series - Proceedings of the Society of Antiquaries of London	0950-7973	2053-5996	1849	1		1920	32		http://www.cambridge.org/core/product/identifier/PNT/type/JOURNAL		PNT		fulltext		Cambridge University Press	Serial								
Antiquaries Journal - related publication - Archaeologia	0261-3409	2051-3186	1770	1		1992	110		http://www.cambridge.org/core/product/identifier/ACH/type/JOURNAL		ACH		fulltext		Cambridge University Press	Serial								
Antiquity	0003-598X	1745-1744	1927	1		2016	90		http://www.cambridge.org/core/product/identifier/AQY/type/JOURNAL		AQY		fulltext		Cambridge University Press	Serial								
ANZIAM Journal	1446-1811	1446-8735	1975	19		2016	58		http://www.cambridge.org/core/product/identifier/ANZ/type/JOURNAL		ANZ		fulltext		Cambridge University Press	Serial								
Applied Psycholinguistics	0142-7164	1469-1817	1980	1		2016	37		http://www.cambridge.org/core/product/identifier/APS/type/JOURNAL		APS		fulltext		Cambridge University Press	Serial								
Arabic Sciences and Philosophy	0957-4239	1474-0524	1991	1		2016	26		http://www.cambridge.org/core/product/identifier/ASP/type/JOURNAL		ASP		fulltext		Cambridge University Press	Serial								
Archaeological Dialogues	1380-2038	1478-2294	1994	1		2016	23		http://www.cambridge.org/core/product/identifier/ARD/type/JOURNAL		ARD		fulltext		Cambridge University Press	Serial								
Archaeological Reports	0570-6084	2041-4102	1955	1		2016	62		http://www.cambridge.org/core/product/identifier/ARE/type/JOURNAL		ARE		fulltext		Cambridge University Press	Serial								
Archives européennes de sociologie/European Journal of Sociology	0003-9756	1474-0583	1960	1		2016	57		http://www.cambridge.org/core/product/identifier/EUR/type/JOURNAL		EUR		fulltext		Cambridge University Press	Serial								
arq: Architectural Research Quarterly	1359-1355	1474-0516	1995	1		2016	20		http://www.cambridge.org/core/product/identifier/ARQ/type/JOURNAL		ARQ		fulltext		Cambridge University Press	Serial								
ASTIN Bulletin	0515-0361	1783-1350	1958	1		2016	46		http://www.cambridge.org/core/product/identifier/ASB/type/JOURNAL		ASB		fulltext		Cambridge University Press	Serial								
Australasian Journal of Special Education	1030-0112	1833-6914	1976	1		2015	39		http://www.cambridge.org/core/product/identifier/JSE/type/JOURNAL		JSE		fulltext		Cambridge University Press	Serial								
Australian Educational and Developmental Psychologist	2059-0776	2059-0784	1984	1		2015	32		http://www.cambridge.org/core/product/identifier/EDP/type/JOURNAL		EDP		fulltext		Cambridge University Press	Serial								
Australian Journal of Environmental Education	0814-0626	2049-775X	1984	1		2016	32		http://www.cambridge.org/core/product/identifier/AEE/type/JOURNAL		AEE		fulltext		Cambridge University Press	Serial								
Journal of Psychologists and Counsellors in Schools	2055-6365	2055-6373	1991	1		2016	26		http://www.cambridge.org/core/product/identifier/JGC/type/JOURNAL		JGC		fulltext		Cambridge University Press	Serial								
Australian Journal of Indigenous Education	1326-0111	2049-7784	1973	1		2015	44		http://www.cambridge.org/core/product/identifier/JIE/type/JOURNAL		JIE		fulltext		Cambridge University Press	Serial								
Australian Journal of Rehabilitation Counselling	1323-8922	1838-6059	1995	1		2015	21		http://www.cambridge.org/core/product/identifier/JRC/type/JOURNAL		JRC		fulltext		Cambridge University Press	Serial								
Austrian History Yearbook	0067-2378	1558-5255	1965	1		2016	47		http://www.cambridge.org/core/product/identifier/AHY/type/JOURNAL		AHY		fulltext		Cambridge University Press	Serial								
Behavioral and Brain Sciences	0140-525X	1469-1825	1978	1		2016	39		http://www.cambridge.org/core/product/identifier/BBS/type/JOURNAL		BBS		fulltext		Cambridge University Press	Serial								
Behaviour Change	0813-4839	2049-7768	1984	1		2016	33		http://www.cambridge.org/core/product/identifier/BEC/type/JOURNAL		BEC		fulltext		Cambridge University Press	Serial								
Behavioural and Cognitive Psychotherapy	1352-4658	1469-1833	1972	1		2016	44		http://www.cambridge.org/core/product/identifier/BCP/type/JOURNAL		BCP		fulltext		Cambridge University Press	Serial								
Bird Conservation International	0959-2709	1474-0001	1991	1		2016	26		http://www.cambridge.org/core/product/identifier/BCI/type/JOURNAL		BCI		fulltext		Cambridge University Press	Serial								
Brain Impairment	1443-9646	1839-5252	2000	1		2016	17		http://www.cambridge.org/core/product/identifier/BIM/type/JOURNAL		BIM		fulltext		Cambridge University Press	Serial								
Britannia	0068-113X	1753-5352	1970	1		2016	47		http://www.cambridge.org/core/product/identifier/BRI/type/JOURNAL		BRI		fulltext		Cambridge University Press	Serial								
British Catholic History	2055-7973	2055-7981	1951	1		2016	33		http://www.cambridge.org/core/product/identifier/BCH/type/JOURNAL		BCH		fulltext		Cambridge University Press	Serial								
British Journal for the History of Science	0007-0874	1474-001X	1962	1		2016	49		http://www.cambridge.org/core/product/identifier/BJH/type/JOURNAL		BJH		fulltext		Cambridge University Press	Serial								
British Journal for the History of Science - previous series - Bulletin of the British Society for the History of Science	0950-5636	2051-2074	1949	1		1961	2		http://www.cambridge.org/core/product/identifier/BBH/type/JOURNAL		BBH		fulltext		Cambridge University Press	Serial								
British Journal of Anaesthetic and Recovery Nursing	1742-6456	1744-2192	2000	1		2013	14		http://www.cambridge.org/core/product/identifier/ARN/type/JOURNAL		ARN		fulltext		Cambridge University Press	Serial								
British Journal of Music Education	0265-0517	1469-2104	1984	1		2016	33		http://www.cambridge.org/core/product/identifier/BME/type/JOURNAL		BME		fulltext		Cambridge University Press	Serial								
British Journal of Nutrition	0007-1145	1475-2662	1947	1		2016	116		http://www.cambridge.org/core/product/identifier/BJN/type/JOURNAL		BJN		fulltext		Cambridge University Press	Serial								
British Journal of Political Science	0007-1234	1469-2112	1971	1		2016	46		http://www.cambridge.org/core/product/identifier/JPS/type/JOURNAL		JPS		fulltext		Cambridge University Press	Serial								
Bulletin of Entomological Research	0007-4853	1475-2670	1910	1		2016	106		http://www.cambridge.org/core/product/identifier/BER/type/JOURNAL		BER		fulltext		Cambridge University Press	Serial								
Bulletin of Entomological Research - Supplement Series	1367-4269	2058-1017	1993	1		1995	3		http://www.cambridge.org/core/product/identifier/BES/type/JOURNAL		BES		fulltext		Cambridge University Press	Serial								
Bulletin of Symbolic Logic	1079-8986	1943-5894	1995	1		2016	22		http://www.cambridge.org/core/product/identifier/BSL/type/JOURNAL		BSL		fulltext		Cambridge University Press	Serial								
