publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Journal of Agricultural and Applied Economics	1074-0708		1969	1		2015	47		aae		aae		fulltext		Cambridge University Press	serial								
Advances in Applied Mathematics and Mechanics	2070-0733	2075-1354	2011	3		2015	8		aam		aam		fulltext		Cambridge University Press	serial								
Annals of Actuarial Science	1748-4995	1748-5002	2006	1		2015	9		aas		aas		fulltext		Cambridge University Press	serial								
Advances in Animal Biosciences	2040-4700	2040-4719	2010	1		2015	6		abs		abs		fulltext		Cambridge University Press	serial								
Archaeologia	0261-3409		1770	1		1992	110		ach		ach		fulltext		Cambridge University Press	serial								
Asian Journal of Comparative Law	2194-6078	1932-0205	2006	1		2015	10		acl		acl		fulltext		Cambridge University Press	serial								
Australian Journal of Environmental Education	0814-0626	2049-775X	1984	1		2015	31		aee		aee		fulltext		Cambridge University Press	serial								
The Journal of African History	0021-8537	1469-5138	1960	1		2015	56		afh		afh		fulltext		Cambridge University Press	serial								
Africa	0001-9720	1750-0184	1928	1		2015	85		afr		afr		fulltext		Cambridge University Press	serial								
Animal Genetic Resources Information	1014-2339	2076-4022	1983	1		2015	57		agr		agr		fulltext		Cambridge University Press	serial								
The Journal of Agricultural Science	0021-8596	1469-5146	1905	1		2015	153		ags		ags		fulltext		Cambridge University Press	serial								
Animal Health Research Reviews	1466-2523	1475-2654	2000	1		2015	16		ahr		ahr		fulltext		Cambridge University Press	serial								
Austrian History Yearbook	0067-2378	1558-5255	1965	1		2015	46		ahy		ahy		fulltext		Cambridge University Press	serial								
Artificial Intelligence for Engineering Design, Analysis and Manufacturing	0890-0604	1469-1760	1987	1		2015	29		aie		aie		fulltext		Cambridge University Press	serial								
American Journal of Alternative Agriculture	0889-1893	1478-5498	1986	1		2003	18		aja		aja		fulltext		Cambridge University Press	serial								
Asian Journal of International Law	2044-2513	2044-2521	2011	1		2015	5		ajl		ajl		fulltext		Cambridge University Press	serial								
AJS Review	0364-0094	1475-4541	1976	1		2015	39		ajs		ajs		fulltext		Cambridge University Press	serial								
Albion	0095-1390	2326-1242	1969	1		2005	36		alb		alb		fulltext		Cambridge University Press	serial								
Asian Journal of Law and Society	2052-9015	2052-9023	2014	1		2015	2		als		als		fulltext		Cambridge University Press	serial								
Acta geneticae medicae et gemellologiae	1120-9623		1952	1		1998	47		amg		amg		fulltext		Cambridge University Press	serial								
Journal of American Studies	0021-8758	1469-5154	1967	1		2015	49		ams		ams		fulltext		Cambridge University Press	serial								
Anatolian Studies	0066-1546	2048-0849	1951	1		2015	65		ank		ank		fulltext		Cambridge University Press	serial								
animal	1751-7311	1751-732X	2007	1		2015	9		anm		anm		fulltext		Cambridge University Press	serial								
