Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
aae,Journal of Agricultural and Applied Economics,1074-0708,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aae/type/JOURNAL,2454,1969,1,2015,47
aam,Advances in Applied Mathematics and Mechanics,2070-0733,2075-1354,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aam/type/JOURNAL,259,2011,3,2015,8
aas,Annals of Actuarial Science,1748-4995,1748-5002,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aas/type/JOURNAL,211,2006,1,2015,9
abs,Advances in Animal Biosciences,2040-4700,2040-4719,Cambridge University Press,http://www.cambridge.org/core/product/identifier/abs/type/JOURNAL,668,2010,1,2015,6
ach,Archaeologia,0261-3409,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ach/type/JOURNAL,2727,1770,1,1992,110
acl,Asian Journal of Comparative Law,2194-6078,1932-0205,Cambridge University Press,http://www.cambridge.org/core/product/identifier/acl/type/JOURNAL,115,2013,8,2015,10
aee,Australian Journal of Environmental Education,0814-0626,2049-775X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aee/type/JOURNAL,581,1984,1,2015,31
afh,The Journal of African History,0021-8537,1469-5138,Cambridge University Press,http://www.cambridge.org/core/product/identifier/afh/type/JOURNAL,5470,1960,1,2015,56
afr,Africa,0001-9720,1750-0184,Cambridge University Press,http://www.cambridge.org/core/product/identifier/afr/type/JOURNAL,9937,1928,1,2015,85
agr,Animal Genetic Resources Information,1014-2339,2076-4022,Cambridge University Press,http://www.cambridge.org/core/product/identifier/agr/type/JOURNAL,914,1983,1,2015,57
ags,The Journal of Agricultural Science,0021-8596,1469-5146,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ags/type/JOURNAL,10513,1905,1,2015,153
ahr,Animal Health Research Reviews,1466-2523,1475-2654,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ahr/type/JOURNAL,320,2000,1,2015,16
ahy,Austrian History Yearbook,0067-2378,1558-5255,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ahy/type/JOURNAL,2577,1965,1,2015,46
aie,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",0890-0604,1469-1760,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aie/type/JOURNAL,998,1987,1,2015,29
aja,American Journal of Alternative Agriculture,0889-1893,1478-5498,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aja/type/JOURNAL,930,1986,1,2003,18
ajl,Asian Journal of International Law,2044-2513,2044-2521,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ajl/type/JOURNAL,173,2011,1,2015,5
ajs,AJS Review,0364-0094,1475-4541,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ajs/type/JOURNAL,2095,1976,1,2015,39
alb,Albion,0095-1390,2326-1242,Cambridge University Press,http://www.cambridge.org/core/product/identifier/alb/type/JOURNAL,5570,1969,1,2005,36
als,Asian Journal of Law and Society,2052-9015,2052-9023,Cambridge University Press,http://www.cambridge.org/core/product/identifier/als/type/JOURNAL,47,2014,1,2015,2
amg,Acta geneticae medicae et gemellologiae,1120-9623,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/amg/type/JOURNAL,2827,1952,1,1998,47
ams,Journal of American Studies,0021-8758,1469-5154,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ams/type/JOURNAL,6781,1967,1,2015,49
ank,Anatolian Studies,0066-1546,2048-0849,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ank/type/JOURNAL,935,1951,1,2015,65
anm,animal,1751-7311,1751-732X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/anm/type/JOURNAL,2231,2007,1,2015,9
ann,Antichthon,0066-4774,2056-8819,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ann/type/JOURNAL,479,1967,1,2015,49
ans,Antarctic Science,0954-1020,1365-2079,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ans/type/JOURNAL,2130,1989,1,2015,27
ant,The Antiquaries Journal,0003-5815,1758-5309,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ant/type/JOURNAL,9644,1921,1,2015,95
anu,Acta Numerica,0962-4929,1474-0508,Cambridge University Press,http://www.cambridge.org/core/product/identifier/anu/type/JOURNAL,185,1992,1,2015,24
anz,The Journal of the Australian Mathematical Society. Series B. Applied Mathematics,0334-2700,1446-8735,Cambridge University Press,http://www.cambridge.org/core/product/identifier/anz/type/JOURNAL,1671,1975,19,2015,57
apa,Journal of the American Philosophical Association,2053-4477,2053-4485,Cambridge University Press,http://www.cambridge.org/core/product/identifier/apa/type/JOURNAL,53,2015,1,2015,1
apl,Annual Review of Applied Linguistics,0267-1905,1471-6356,Cambridge University Press,http://www.cambridge.org/core/product/identifier/apl/type/JOURNAL,623,1980,1,2015,35
aps,Applied Psycholinguistics,0142-7164,1469-1817,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aps/type/JOURNAL,1631,1980,1,2015,36
aqy,Antiquity,0003-598X,1745-1744,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aqy/type/JOURNAL,12194,1927,1,2015,89
ard,Archaeological Dialogues,1380-2038,1478-2294,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ard/type/JOURNAL,536,1994,1,2015,22
are,Archaeological Reports,0570-6084,2041-4102,Cambridge University Press,http://www.cambridge.org/core/product/identifier/are/type/JOURNAL,678,1955,1,2015,61
arn,British Journal of Anaesthetic and Recovery Nursing,1742-6456,1744-2192,Cambridge University Press,http://www.cambridge.org/core/product/identifier/arn/type/JOURNAL,489,2000,1,2013,14
arq,Architectural Research Quarterly,1359-1355,1474-0516,Cambridge University Press,http://www.cambridge.org/core/product/identifier/arq/type/JOURNAL,1075,1995,1,2015,19
asb,ASTIN Bulletin,0515-0361,1783-1350,Cambridge University Press,http://www.cambridge.org/core/product/identifier/asb/type/JOURNAL,1610,1958,1,2015,45
asc,Animal Production,0003-3561,1748-748X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/asc/type/JOURNAL,4360,1959,1,2006,82
ase,Anglo-Saxon England,0263-6751,1474-0532,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ase/type/JOURNAL,654,1972,1,2014,43
asi,International Journal of Asian Studies,1479-5914,1479-5922,Cambridge University Press,http://www.cambridge.org/core/product/identifier/asi/type/JOURNAL,418,2004,1,2015,12
aso,Ageing and Society,0144-686X,1469-1779,Cambridge University Press,http://www.cambridge.org/core/product/identifier/aso/type/JOURNAL,3251,1981,1,2015,35
asp,Arabic Sciences and Philosophy,0957-4239,1474-0524,Cambridge University Press,http://www.cambridge.org/core/product/identifier/asp/type/JOURNAL,330,1991,1,2015,25
asr,African Studies Review,0002-0206,1555-2462,Cambridge University Press,http://www.cambridge.org/core/product/identifier/asr/type/JOURNAL,4069,1962,5,2015,58
ass,Modern Asian Studies,0026-749X,1469-8099,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ass/type/JOURNAL,2598,1967,1,2015,49
ast,Journal of Anglican Studies,1740-3553,1745-5278,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ast/type/JOURNAL,362,2003,1,2015,13
ath,The Annual of the British School at Athens,0068-2454,2045-2403,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ath/type/JOURNAL,2239,1894,1,2015,110
atm,Ancient Mesoamerica,0956-5361,1469-1787,Cambridge University Press,http://www.cambridge.org/core/product/identifier/atm/type/JOURNAL,664,1990,1,2015,26
baj,British Actuarial Journal,1357-3217,2044-0456,Cambridge University Press,http://www.cambridge.org/core/product/identifier/baj/type/JOURNAL,738,1995,1,2015,20
baz,Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,Cambridge University Press,http://www.cambridge.org/core/product/identifier/baz/type/JOURNAL,5504,1969,1,2015,92
bbh,Bulletin of the British Society for the History of Science,0950-5636,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bbh/type/JOURNAL,212,1949,1,1961,2
bbs,Behavioral and Brain Sciences,0140-525X,1469-1825,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bbs/type/JOURNAL,13963,1978,1,2015,38
bca,Journal of Benefit-Cost Analysis,2194-5888,2152-2812,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bca/type/JOURNAL,111,2010,1,2015,6
bch,Recusant History,0034-1932,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bch/type/JOURNAL,1083,1957,4,2015,32
bci,Bird Conservation International,0959-2709,1474-0001,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bci/type/JOURNAL,969,1991,1,2015,25
bcp,Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bcp/type/JOURNAL,2616,1975,3,2015,43
bec,Behaviour Change,0813-4839,2049-7768,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bec/type/JOURNAL,1024,1984,1,2015,32
beq,Business Ethics Quarterly,1052-150X,2153-3326,Cambridge University Press,http://www.cambridge.org/core/product/identifier/beq/type/JOURNAL,1324,1991,1,2015,25
ber,Bulletin of Entomological Research,0007-4853,1475-2670,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ber/type/JOURNAL,6898,1910,1,2015,105
