Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
aae,Journal of Agricultural and Applied Economics,1074-0708,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aae,2454,1969,1,2015,47
aam,Advances in Applied Mathematics and Mechanics,2070-0733,2075-1354,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aam,259,2011,3,2015,8
aas,Annals of Actuarial Science,1748-4995,1748-5002,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aas,211,2006,1,2015,9
abs,Advances in Animal Biosciences,2040-4700,2040-4719,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=abs,668,2010,1,2015,6
ach,Archaeologia,0261-3409,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ach,2727,1770,1,1992,110
acl,Asian Journal of Comparative Law,2194-6078,1932-0205,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=acl,115,2006,1,2015,10
aee,Australian Journal of Environmental Education,0814-0626,2049-775X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aee,581,1984,1,2015,31
afh,The Journal of African History,0021-8537,1469-5138,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=afh,5532,1960,1,2015,56
afr,Africa,0001-9720,1750-0184,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=afr,9937,1928,1,2015,85
agr,Animal Genetic Resources Information,1014-2339,2076-4022,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=agr,914,1983,1,2015,57
ags,The Journal of Agricultural Science,0021-8596,1469-5146,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ags,10574,1905,1,2015,153
ahr,Animal Health Research Reviews,1466-2523,1475-2654,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ahr,320,2000,1,2015,16
ahy,Austrian History Yearbook,0067-2378,1558-5255,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ahy,2577,1965,1,2015,46
aie,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",0890-0604,1469-1760,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aie,998,1987,1,2015,29
aja,American Journal of Alternative Agriculture,0889-1893,1478-5498,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aja,930,1986,1,2003,18
ajl,Asian Journal of International Law,2044-2513,2044-2521,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ajl,173,2011,1,2015,5
ajs,AJS Review,0364-0094,1475-4541,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ajs,2095,1976,1,2015,39
alb,Albion,0095-1390,2326-1242,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=alb,5570,1969,1,2005,36
als,Asian Journal of Law and Society,2052-9015,2052-9023,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=als,47,2014,1,2015,2
amg,Acta geneticae medicae et gemellologiae,1120-9623,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=amg,2827,1952,1,1998,47
ams,Journal of American Studies,0021-8758,1469-5154,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ams,6872,1967,1,2015,49
ank,Anatolian Studies,0066-1546,2048-0849,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ank,935,1951,1,2015,65
anm,animal,1751-7311,1751-732X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=anm,2231,2007,1,2015,9
ann,Antichthon,0066-4774,2056-8819,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ann,479,1967,1,2015,49
ans,Antarctic Science,0954-1020,1365-2079,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ans,2130,1989,1,2015,27
ant,The Antiquaries Journal,0003-5815,1758-5309,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ant,9644,1921,1,2015,95
anu,Acta Numerica,0962-4929,1474-0508,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=anu,185,1992,1,2015,24
anz,The Journal of the Australian Mathematical Society. Series B. Applied Mathematics,0334-2700,1446-8735,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=anz,1671,1975,19,2015,57
apa,Journal of the American Philosophical Association,2053-4477,2053-4485,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=apa,53,2015,1,2015,1
apl,Annual Review of Applied Linguistics,0267-1905,1471-6356,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=apl,623,1980,1,2015,35
aps,Applied Psycholinguistics,0142-7164,1469-1817,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aps,1631,1980,1,2015,36
aqy,Antiquity,0003-598X,1745-1744,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aqy,12194,1927,1,2015,89
ard,Archaeological Dialogues,1380-2038,1478-2294,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ard,536,1994,1,2015,22
are,Archaeological Reports,0570-6084,2041-4102,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=are,678,1955,1,2015,61
arn,British Journal of Anaesthetic and Recovery Nursing,1742-6456,1744-2192,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=arn,489,2000,1,2013,14
arq,Architectural Research Quarterly,1359-1355,1474-0516,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=arq,1111,1995,1,2015,19
asb,ASTIN Bulletin,0515-0361,1783-1350,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=asb,1610,1958,1,2015,45
