PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2021-11-20	41	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext	Online	De Gruyter	serial								F
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2021-12-10	11	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext	Online	De Gruyter	serial								P
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2021-12-20	10	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext	CEASED !	De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2021-10-20	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext	Online	De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2021-10-19	21	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext	Online	De Gruyter	serial								P
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012-03-15	1	1	2021-02-28	10	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext	Online	De Gruyter	serial								F
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	2010-03-22	1	1	2019-10-30	10	4	https://www.degruyter.com/openurl?genre=journal&issn=1869-6090		1869-6090		fulltext	CEASED !	De Gruyter	serial								P
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2021-12-15	48	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext	Online	De Gruyter (A)	serial								P
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2021-11-01	41	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext	Online	De Gruyter (O)	serial								P
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2021-11-15		14	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext	Online	De Gruyter	yearbook								P
