publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ABI Technik	0720-6763	2191-4664	1996	16		2017	37		https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011	1		2017	7		https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P
Advanced Optical Technologies	2192-8576	2192-8584	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008	1		2017	10		https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001	1		2017	17		https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012	1		2017	6		https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext		De Gruyter	serial								F
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	2010	1		2017	8		https://www.degruyter.com/openurl?genre=journal&issn=1869-6090		1869-6090		fulltext		De Gruyter	serial								P
Altorientalische Forschungen	0232-8461	2196-6761	1975			2017	44		https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P
Analysis	0174-4747	2196-6753	1981	1		2017	37		https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Angermion 	1438-2091	1868-9426	2010	3		2017			https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P
Anglia	0340-5222	1865-8938	1878	1		2017	135		https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P
Annalen des Historischen Vereins für den Niederrhein	0341-289X	2194-3818	1855			2017			https://www.degruyter.com/openurl?genre=journal&issn=2194-3818		2194-3818		fulltext		Böhlau Verlag	yearbook								P
Antike und Abendland	0003-5696	1613-0421	1944			2017			https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P
Apeiron	0003-6390	2156-7093	1967	1		2017	50		https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010	1		2017	8		https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P
Arbitrium	0723-2977	1865-8849	1985	3		2017	35		https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P
