PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2018-12-15	38	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P
Accounting, Economics, and Law: A Convivium	2194-6051	2152-2820	2011-06-20	1	1	2018-12-10	8	3	https://www.degruyter.com/openurl?genre=journal&issn=2152-2820		2152-2820		fulltext		De Gruyter	serial								P
Advanced Optical Technologies	2192-8576	2192-8584	2012-02-01	1	1-2	2018-12-20	7	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-8584		2192-8584		fulltext		De Gruyter	serial								P
Advances in Calculus of Variations	1864-8258	1864-8266	2008-01-25	1	1	2018-07-31	11	4	https://www.degruyter.com/openurl?genre=journal&issn=1864-8266		1864-8266		fulltext		De Gruyter	serial								P
Advances in Geometry 	1615-715X	1615-7168	2001-03-01	1	1	2018-10-19	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1615-7168		1615-7168		fulltext		De Gruyter	serial								P
Advances in Nonlinear Analysis	2191-9496	2191-950X	2012-03-15	1	1	2016-11-28	5	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-950X		2191-950X		fulltext		De Gruyter	serial								F
Advances in Pure and Applied Mathematics	1867-1152	1869-6090	2010-03-22	1	1	2018-10-30	9	4	https://www.degruyter.com/openurl?genre=journal&issn=1869-6090		1869-6090		fulltext		De Gruyter	serial								P
Altorientalische Forschungen	0232-8461	2196-6761	1975-06-20		3	2016-06-15	43	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P
Analysis	0174-4747	2196-6753	1981-02-15	1	1	2018-11-01	38	4	https://www.degruyter.com/openurl?genre=journal&issn=2196-6753		2196-6753		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Angermion 	1438-2091	1868-9426	2010-11-19	3	1	2018-11-15		11	https://www.degruyter.com/openurl?genre=journal&issn=1868-9426		1868-9426		fulltext		De Gruyter	yearbook								P
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2018-11-20	136	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext		De Gruyter	serial								P
Annalen des Historischen Vereins für den Niederrhein	0341-289X	2194-3818	1855-06-15		1	2016-11-01		219	https://www.degruyter.com/openurl?genre=journal&issn=2194-3818		2194-3818		fulltext		Böhlau Verlag	yearbook								P
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2018-11-15		64	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	yearbook								P
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2018-10-15	51	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext		De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2018-11-15	9	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext		De Gruyter Mouton	serial								P
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2018-12-20	36	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext		De Gruyter	serial								P
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2018-11-28	53	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext		De Gruyter	serial								P
Archiv für Diplomatik, Schriftgeschichte, Siegel- und Wappenkunde	0066-6297	2194-5020	1955-11-30	1	1	2018-11-25		64	https://www.degruyter.com/openurl?genre=journal&issn=2194-5020		2194-5020		fulltext		Böhlau Verlag	yearbook								P
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888-01-01	1	1	2016-12-15	98	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext		De Gruyter	serial								P
Archiv für Kulturgeschichte 	0003-9233	2194-3958	1903-06-15	1	1	2016-10-25	98	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-3958		2194-3958		fulltext		Böhlau Verlag	serial								P
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2018-12-20	64	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2018-10-16	109	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext		Gütersloher Verlagshaus	serial								P
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review	0341-8375	2198-0497	1972-06-15	1	1	2016-06-15	45	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0497		2198-0497		fulltext		Gütersloher Verlagshaus	serial								P
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2018-02-20		20	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	yearbook								P
