Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
abitech,ABI-Technik,0720-6763,2191-4664,De Gruyter,http://www.degruyter.com/view/j/abitech,826,1996,16,2015,35
abpr,The African Book Publishing Record,0306-0322,7865-8717,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/abpr,1139,1975,1,2015,41
acv,Advances in Calculus of Variations,1864-8258,1864-8266,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/acv,122,2008,1,2015,8
advg,Advances in Geometry,1615-715X,1615-7168,Walter de Gruyter GmbH & Co. KG,http://www.degruyter.com/view/j/advg,537,2001,1,2015,15
ael,"Accounting, Economics and Law",2194-6051,2152-2820,De Gruyter,http://www.degruyter.com/view/j/ael,75,2011,1,2015,5
afd,Archiv für Diplomatik,0066-6297,2194-5020,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/afd,766,1955,1,2015,61
afgs,Archiv für Religionsgeschichte,1436-3038,1868-8888,De Gruyter,http://www.degruyter.com/view/j/afgs,261,1999,1,2015,16
agp,Acta Geologica Polonica,0001-5709,2300-1887,Versita,http://www.degruyter.com/view/j/agp,88,2012,62,2015,65
agph,Archiv für Geschichte der Philosophie,0003-9101,1613-0650,"Walter de Gruyter, Berlin / New York",http://www.degruyter.com/view/j/agph,2340,1888,1,2015,97
ajle,Asian Journal of Law and Economics,2194-6086,2154-4611,De Gruyter,http://www.degruyter.com/view/j/ajle,43,2010,1,2015,6
akg,Archiv für Kulturgeschichte,0003-9233,2194-3958,Böhlau Verlag GmbH & CIE.,http://www.degruyter.com/view/j/akg,2194,1903,1,2015,97
alr,Applied Linguistics Review,1868-6303,1868-6311,De Gruyter Mouton,http://www.degruyter.com/view/j/alr,88,2010,1,2015,6
ang,Angermion,1438-2091,1868-9426,De Gruyter,http://www.degruyter.com/view/j/ang,57,2010,3,2015,8
