publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Acta Biochimica et Biophysica Sinica	1672-9145	1745-7270	2015	47		2015	47		https://academic.oup.com/abbs		abbs		fulltext		Oxford University Press	serial								
Archives of Clinical Neuropsychology	0887-6177	1873-5843	1986	1		2015	30		https://academic.oup.com/acn		acn		fulltext		Oxford University Press	serial								
Adaptation	1755-0637	1755-0645	2015	8		2015	8		https://academic.oup.com/adaptation		adaptation		fulltext		Oxford University Press	serial								
American Entomologist	1046-2821	2155-9902	1990	36		2015	61		https://academic.oup.com/ae		ae		fulltext		Oxford University Press	serial								
Review of Agricultural Economics	1058-7195	1467-9353	1988	1		2015	28		https://academic.oup.com/aepp		aepp		fulltext		Oxford University Press	serial								
Annals of the Entomological Society of America	0013-8746	1938-2901	1908	1		2015	108		https://academic.oup.com/aesa		aesa		fulltext		Oxford University Press	serial								
The British Journal of Aesthetics	0007-0904	1468-2842	1960	1		2015	55		https://academic.oup.com/bjaesthetics		aesthj		fulltext		Oxford University Press	serial								
African Affairs	0001-9909	1468-2621	1901	95		2015	114		https://academic.oup.com/afraf		afrafj		fulltext		Oxford University Press	serial								
Age and Ageing	0002-0729	1468-2834	1972	1		2015	44		https://academic.oup.com/ageing		ageing		fulltext		Oxford University Press	serial								
The American Historical Review	0002-8762	1937-5239	1895	1		2015	120		https://academic.oup.com/ahr		ahr		fulltext		Oxford University Press	serial								
AIBS Bulletin	0096-7645		1951	1		1963	13		https://academic.oup.com/aibsbulletin		aibsbulletin		fulltext		Oxford University Press	serial								
Journal of Farm Economics	0002-9092	1467-8276	1919	1		2014	96		https://academic.oup.com/ajae		ajae		fulltext		Oxford University Press	serial								
American Journal of Epidemiology	0002-9262	1476-6256	1921	1		2015	95		https://academic.oup.com/aje		aje		fulltext		Oxford University Press	serial								
American Journal of Hypertension	0895-7061	1941-7225	1988	1		2015	28		https://academic.oup.com/ajh		ajh		fulltext		Oxford University Press	serial								
The American Journal of Jurisprudence	0065-8995	2049-6494	1956	1		2015	60		https://academic.oup.com/ajj		ajj		fulltext		Oxford University Press	serial								
Alcohol and Alcoholism	0735-0414	1464-3502	1963	1		2015	50		https://academic.oup.com/alcalc		alcalc		fulltext		Oxford University Press	serial								
American Law and Economics Review	1465-7252	1465-7260	2015	17		2015	17		https://academic.oup.com/aler		alecon		fulltext		Oxford University Press	serial								
American Literary History	0896-7148	1468-4365	1989	1		2015	27		https://academic.oup.com/alh		alhist		fulltext		Oxford University Press	serial								
Applied Mathematics Research eXpress	1687-1200	1687-1197	2015			2015			https://academic.oup.com/amrx		amrx		fulltext		Oxford University Press	serial								
Analysis	0003-2638	1467-8284	1933	1		2015	83		https://academic.oup.com/analysis		analys		fulltext		Oxford University Press	serial								
Annals of Botany	0305-7364	1095-8290	1887	1		2015	129		https://academic.oup.com/aob		annbot		fulltext		Oxford University Press	serial								
Annals of Occupational Hygiene	0003-4878	1475-3162	1958	1		2015	58		https://academic.oup.com/annhyg		annhyg		fulltext		Oxford University Press	serial								
Annals of Oncology	0923-7534	1569-8041	1990	1		2015	26		https://academic.oup.com/annonc		annonc		fulltext		Oxford University Press	serial								
Applied Linguistics	0142-6001	1477-450X	1980	1		2015	36		https://academic.oup.com/applij		applij		fulltext		Oxford University Press	serial								
Arbitration International	0957-0411	1875-8398	1985	1		2015	31		https://academic.oup.com/arbitration		arbitration		fulltext		Oxford University Press	serial								
Aesthetic Surgery Journal	1090-820X	1527-330X	1995	15		2015	35		https://academic.oup.com/asj		asj		fulltext		Oxford University Press	serial								
Astronomy & Geophysics	1366-8781	1468-4004	2015	56		2015	56		https://academic.oup.com/astrogeo		astrogeo		fulltext		Oxford University Press	serial								
Behavioral Ecology	1045-2249	1465-7279	1990	1		2015	26		https://academic.oup.com/beheco		beheco		fulltext		Oxford University Press	serial								
Briefings in Functional Genomics	2041-2649	2041-2647	2015	14		2015	14		https://academic.oup.com/bfgp		bfgp		fulltext		Oxford University Press	serial								
Bioinformatics	1367-4803	1460-2059	1985	1		2015	31		https://academic.oup.com/bioinformatics		bioinformatics		fulltext		Oxford University Press	serial								
Biometrika	0006-3444	1464-3510	1901	1		2015	102		https://academic.oup.com/biomet		biomet		fulltext		Oxford University Press	serial								
BioScience	0006-3568	1525-3244	1951	1		2015	65		https://academic.oup.com/bioscience		bioscience		fulltext		Oxford University Press	serial								
Biostatistics	1465-4644	1468-4357	2015	16		2015	16		https://academic.oup.com/biostatistics		biosts		fulltext		Oxford University Press	serial								
BJA: British Journal of Anaesthesia	0007-0912	1471-6771	1923	1		2015	115		https://academic.oup.com/bja		bjaint		fulltext		Oxford University Press	serial								
Continuing Education in Anaesthesia, Critical Care & Pain	1743-1816	1743-1824	2015	15		2015	15		https://academic.oup.com/bjaed		bjarev		fulltext		Oxford University Press	serial								
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1969	1		2015	47		https://academic.oup.com/blms		blms		fulltext		Oxford University Press	serial								
Brain	0006-8950	1460-2156	1878	1		2015	138		https://academic.oup.com/brain		brainj		fulltext		Oxford University Press	serial								
Rheumatology	1462-0324	1462-0332	1952	1		2015	54		https://academic.oup.com/rheumatology		brheum		fulltext		Oxford University Press	serial								
British Medical Bulletin	0007-1420	1471-8391	1943	1		2015	116		https://academic.oup.com/bmb		brimed		fulltext		Oxford University Press	serial								
Cambridge Journal of Economics	0309-166X	1464-3545	1977	1		2015	39		https://academic.oup.com/cje		cameco		fulltext		Oxford University Press	serial								
The Cambridge Quarterly	0008-199X	1471-6836	1965	30		2015	44		https://academic.oup.com/camqtly		camquj		fulltext		Oxford University Press	serial								
Carcinogenesis	0143-3334	1460-2180	1980	1		2015	36		https://academic.oup.com/carcin		carcin		fulltext		Oxford University Press	serial								
Cardiovascular Research	0008-6363	1755-3245	1967	1		2015	108		https://academic.oup.com/cardiovascres		cardiovascres		fulltext		Oxford University Press	serial								
Christian Bioethics	1380-3603	1744-4195	1995	1		2015	21		https://academic.oup.com/cb		cb		fulltext		Oxford University Press	serial								
Community Development Journal	0010-3802	1468-2656	1966	1		2015	50		https://academic.oup.com/cdj		cdj		fulltext		Oxford University Press	serial								
Cerebral Cortex	1047-3211	1460-2199	1991	1		2015	25		https://academic.oup.com/cercor		cercor		fulltext		Oxford University Press	serial								
CESifo Economic Studies	1610-241X	1612-7501	2015	61		2015	61		https://academic.oup.com/cesifo		cesifo		fulltext		Oxford University Press	serial								
Chemical Senses	0379-864X	1464-3553	1974	1		2015	40		https://academic.oup.com/chemse		chemse		fulltext		Oxford University Press	serial								
Journal of Chromatographic Science	0021-9665	1945-239X	1963	1		2015	53		https://academic.oup.com/chromsci		chromsci		fulltext		Oxford University Press	serial								
Clinical Infectious Diseases	1058-4838	1537-6591	1979	1		2015	61		https://academic.oup.com/cid		cid		fulltext		Oxford University Press	serial								
Chinese Journal of International Law	1540-1650	1746-9937	2015	14		2015	14		https://academic.oup.com/chinesejil		cjilaw		fulltext		Oxford University Press	serial								
The Chinese Journal of International Politics	1750-8916	1750-8924	2015	8		2015	8		https://academic.oup.com/cjip		cjip		fulltext		Oxford University Press	serial								
Cambridge Journal Of Regions, Economy And Society	1752-1378	1752-1386	2015	8		2015	8		https://academic.oup.com/cjres		cjres		fulltext		Oxford University Press	serial								
Current Legal Problems	2044-8422		1948	1		2015	68		https://academic.oup.com/clp		clp		fulltext		Oxford University Press	serial								
Capital Markets Law Journal	1750-7219	1750-7227	2015	10		2015	10		https://academic.oup.com/cmlj		cmlj		fulltext		Oxford University Press	serial								
ITNOW	1746-5702	1746-5710	1995	37		2015	57		https://academic.oup.com/itnow		combul		fulltext		Oxford University Press	serial								
The Computer Journal	0010-4620	1460-2067	1958	1		2015	58		https://academic.oup.com/comjnl		computer_journal		fulltext		Oxford University Press	serial								
Contributions to Political Economy	0277-5921	1464-3588	1982	1		2015	34		https://academic.oup.com/cpe		conpec		fulltext		Oxford University Press	serial								
The British Journal of Criminology	0007-0955	1464-3529	1960	1		2015	55		https://academic.oup.com/bjc		crimin		fulltext		Oxford University Press	serial								
Classical Receptions Journal	1759-5134	1759-5142	2015	7		2015	7		https://academic.oup.com/crj		crj		fulltext		Oxford University Press	serial								
Children & Schools	1532-8759	1545-682X	1978	1		2015	37		https://academic.oup.com/cs		cs		fulltext		Oxford University Press	serial								
Contemporary Women's Writing	1754-1476	1754-1484	2015	9		2015	9		https://academic.oup.com/cww		cww		fulltext		Oxford University Press	serial								
