publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Archives of Clinical Neuropsychology	0887-6177	1873-5843	1986	1		2015	30		http://acn.oxfordjournals.org		acn		fulltext		Elsevier	serial								
American Entomologist	1046-2821	2155-9902	1990	47		2015	61		http://ae.oxfordjournals.org		ae		fulltext		Oxford University Press	serial								
Review of Agricultural Economics	1058-7195	1467-9353	1996	18		2015	37		http://aepp.oxfordjournals.org		aepp		fulltext		Oxford University Press	serial								
Annals of the Entomological Society of America	0013-8746	1938-2901	1908	89		2015	108		http://aesa.oxfordjournals.org		aesa		fulltext		Oxford University Press	serial								
The British Journal of Aesthetics	0007-0904	1468-2842	1960	1		2015	55		http://bjaesthetics.oxfordjournals.org		aesthj		fulltext		Oxford University Press	serial								
African Affairs	0001-9909	1468-2621	1901	1		2015	114		http://afraf.oxfordjournals.org		afrafj		fulltext		Oxford University Press	serial								
Age and Ageing	0002-0729	1468-2834	1972	1		2015	44		http://ageing.oxfordjournals.org		ageing		fulltext		Oxford University Press	serial								
The American Historical Review	0002-8762	1937-5239	1895	1		2015	120		http://ahr.oxfordjournals.org		ahr		fulltext		Oxford University Press	serial								
American Journal of Epidemiology	0002-9262	1476-6256	1952	55		2015	182		http://aje.oxfordjournals.org		aje		fulltext		Oxford University Press	serial								
American Journal of Hypertension	0895-7061	1941-7225	1895	9		2015	28		http://ajh.oxfordjournals.org		ajh		fulltext		Oxford University Press	serial								
The American Journal of Jurisprudence	0065-8995	2049-6494	1956	1		2015	60		http://ajj.oxfordjournals.org		ajj		fulltext		Oxford University Press	serial								
Alcohol and Alcoholism	0735-0414	1464-3502	1963	1		2015	50		http://alcalc.oxfordjournals.org		alcalc		fulltext		Oxford University Press	serial								
American Literary History	0896-7148	1468-4365	1989	1		2015	27		http://alh.oxfordjournals.org		alhist		fulltext		Oxford University Press	serial								
Analysis	0003-2638	1467-8284	1933	1		2015	75		http://analysis.oxfordjournals.org		analys		fulltext		Oxford University Press	serial								
Annals of Botany	0305-7364	1095-8290	1887	1		2015	116		http://aob.oxfordjournals.org		annbot		fulltext		Oxford University Press	serial								
Annals of Occupational Hygiene	0003-4878	1475-3162	1972	15		2015	59		http://annhyg.oxfordjournals.org		annhyg		fulltext		Oxford University Press	serial								
Annals of Oncology	0923-7534	1569-8041	1990	1		2015	26		http://annonc.oxfordjournals.org		annonc		fulltext		Oxford University Press	serial								
Applied Linguistics	0142-6001	1477-450X	1980	1		2015	36		http://applij.oxfordjournals.org		applij		fulltext		Oxford University Press	serial								
Arbitration International	0957-0411	1875-8398	1985	1		2015	31		http://arbitration.oxfordjournals.org		arbitration		fulltext		Oxford University Press	serial								
Aesthetic Surgery Journal	1090-820X	1527-330X	1995	16		2015	35		http://asj.oxfordjournals.org		asj		fulltext		Blackwell Publishing Ltd	serial								
Behavioral Ecology	1045-2249	1465-7279	1990	1		2015	26		http://beheco.oxfordjournals.org		beheco		fulltext		Oxford University Press	serial								
Bioinformatics	1367-4803	1460-2059	1985	1		2015	31		http://bioinformatics.oxfordjournals.org		bioinformatics		fulltext		Oxford University Press	serial								
Biometrika	0006-3444	1464-3510	1901	1		2015	102		http://biomet.oxfordjournals.org		biomet		fulltext		Oxford University Press	serial								
BioScience	0006-3568	1525-3244	1964	14		2015	65		http://bioscience.oxfordjournals.org		bioscience		fulltext		American Institute of Biological Sciences	serial								
British Journal of Anaesthesia	0007-0912	1471-6771	1923	1		2015	115		http://bja.oxfordjournals.org		bjaint		fulltext		Oxford University Press	serial								
Bulletin of the London Mathematical Society	0024-6093	1469-2120	1969	1		2015	47		http://blms.oxfordjournals.org		blms		fulltext		Oxford University Press	serial								
Brain	0006-8950	1460-2156	1878	1		2015	138		http://brain.oxfordjournals.org		brainj		fulltext		Oxford University Press	serial								
Rheumatology	1462-0324	1462-0332	1952	1		2015	54		http://rheumatology.oxfordjournals.org		brheum		fulltext		Oxford University Press	serial								
British Medical Bulletin	0007-1420	1471-8391	1943	1		2015	116		http://bmb.oxfordjournals.org		brimed		fulltext		Oxford University Press	serial								
Cambridge Journal of Economics	0309-166X	1464-3545	1977	1		2015	39		http://cje.oxfordjournals.org		cameco		fulltext		Oxford University Press	serial								
The Cambridge Quarterly	0008-199X	1471-6836	1965	1		2015	44		http://camqtly.oxfordjournals.org		camquj		fulltext		Oxford University Press	serial								
Carcinogenesis	0143-3334	1460-2180	1980	1		2015	36		http://carcin.oxfordjournals.org		carcin		fulltext		Oxford University Press	serial								
Cardiovascular Research	0008-6363	1755-3245	1967	1		2015	108		http://cardiovascres.oxfordjournals.org		cardiovascres		fulltext		Elsevier Science	serial								
Christian Bioethics	1380-3603	1744-4195	1995	1		2015	21		http://cb.oxfordjournals.org		cb		fulltext		Oxford University Press	serial								
Community Development Journal	0010-3802	1468-2656	1966	1		2015	50		http://cdj.oxfordjournals.org		cdj		fulltext		Oxford University Press	serial								
