journal_id,title,% of articles with this title,eissn,%of articles with this eissn,pissn,%of articles with this pissn,publisher,%of articles with this publisher,url,number of articles,minYear,maxYear,cardinality,missing years,min_volume,max_volume,cardinality-volumes,number of missing volumes
6.3.225,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.225.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.241,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.241.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.264,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.264.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.289,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.289.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.298,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.298.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.307,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.307.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.311,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.311.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.315,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.315.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.320,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.320.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
6.3.321,,nan,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://6.3.321.oxfordjournals.org,,1989,1994,1,0,1,6,1,5
abbs,Acta Biochimica et Biophysica Sinica,50.4,1745-7270,100.0,1672-9145,100.0,Oxford University Press,80.3,http://abbs.oxfordjournals.org,,2004,2015,12,0,36,47,12,0
acn,Archives of Clinical Neuropsychology,100.0,1873-5843,100.0,0887-6177,100.0,Oxford University Press,65.7,http://acn.oxfordjournals.org,,1986,2015,19,0,1,30,19,11
adaptation,Adaptation,100.0,1755-0645,100.0,1755-0637,100.0,Oxford University Press,100.0,http://adaptation.oxfordjournals.org,,2008,2015,4,4,1,8,4,4
ae,American Entomologist,100.0,2155-9902,100.0,1046-2821,100.0,Oxford University Press,100.0,http://ae.oxfordjournals.org,,1990,2015,13,13,36,61,13,13
aepp,Review of Agricultural Economics,71.0,1467-9353,71.0,1058-7195,71.0,Oxford University Press,100.0,http://aepp.oxfordjournals.org,,1996,2015,20,0,18,37,20,0
aesa,Annals of the Entomological Society of America,100.0,1938-2901,100.0,0013-8746,100.0,Oxford University Press,100.0,http://aesa.oxfordjournals.org,,1908,2015,20,0,1,108,20,88
aesthj,The British Journal of Aesthetics,93.7,1468-2842,100.0,0007-0904,100.0,Oxford University Press,99.7,http://bjaesthetics.oxfordjournals.org,,1960,2015,56,0,1,55,55,0
afrafj,African Affairs,100.0,1468-2621,100.0,0001-9909,100.0,Oxford University Press,100.0,http://afraf.oxfordjournals.org,,1901,2015,20,0,1,114,20,94
ageing,Age and Ageing,96.7,1468-2834,100.0,0002-0729,100.0,Oxford University Press,100.0,http://ageing.oxfordjournals.org,,1972,2015,44,0,1,44,44,0
ahr,The American Historical Review,100.0,1937-5239,100.0,0002-8762,100.0,Oxford University Press,89.4,http://ahr.oxfordjournals.org,,1895,2015,119,2,1,120,123,-3
aibsbulletin,AIBS Bulletin,100.0,,nan,0096-7645,100.0,Oxford University Press,100.0,http://aibsbulletin.oxfordjournals.org,,1951,1963,13,0,1,13,13,0
ajae,Journal of Farm Economics,50.0,1467-8276,100.0,0002-9092,100.0,Oxford University Press,100.0,http://ajae.oxfordjournals.org,,1919,2014,90,6,1,96,90,6
aje,American Journal of Epidemiology,100.0,1476-6256,99.9,0002-9262,100.0,Oxford University Press,99.8,http://aje.oxfordjournals.org,,1952,2015,20,0,55,182,40,88
ajh,American Journal of Hypertension,100.0,1941-7225,100.0,0895-7061,100.0,Oxford University Press,100.0,http://ajh.oxfordjournals.org,,1988,2015,28,0,1,28,28,0
ajj,The American Journal of Jurisprudence,73.9,2049-6494,100.0,0065-8995,100.0,Oxford University Press,100.0,http://ajj.oxfordjournals.org,,1956,2015,59,1,1,60,59,1
alcalc,Alcohol and Alcoholism,91.4,1464-3502,99.2,0735-0414,99.2,Oxford University Press,100.0,http://alcalc.oxfordjournals.org,,1963,2015,53,0,1,50,50,0
alecon,American Law and Economics Review,100.0,1465-7260,70.8,1465-7252,70.8,Oxford University Press,100.0,http://aler.oxfordjournals.org,,2015,2015,1,0,17,17,1,0
alhist,American Literary History,100.0,1468-4365,100.0,0896-7148,100.0,Oxford University Press,99.0,http://alh.oxfordjournals.org,,1989,2015,19,0,1,27,19,8
amrx,Applied Mathematics Research eXpress,100.0,1687-1197,100.0,1687-1200,100.0,Oxford University Press,100.0,http://amrx.oxfordjournals.org,,2015,2015,1,0,,,1,0
analys,Analysis,100.0,1467-8284,100.0,0003-2638,100.0,Oxford University Press,59.7,http://analysis.oxfordjournals.org,,1933,2015,19,1,1,75,19,56
annbot,Annals of Botany,100.0,1095-8290,100.0,0305-7364,100.0,Oxford University Press,99.6,http://aob.oxfordjournals.org,,1887,2015,20,0,1,116,40,76
annhyg,Annals of Occupational Hygiene,61.8,1475-3162,100.0,0003-4878,100.0,Oxford University Press,90.9,http://annhyg.oxfordjournals.org,,1972,2015,20,0,15,59,20,25
annonc,Annals of Oncology,99.7,1569-8041,99.8,0923-7534,99.8,Oxford University Press,100.0,http://annonc.oxfordjournals.org,,1990,2015,20,0,1,26,20,6
applij,Applied Linguistics,100.0,1477-450X,100.0,0142-6001,100.0,Oxford University Press,100.0,http://applij.oxfordjournals.org,,1980,2015,20,0,1,36,20,16
arbitration,Arbitration International,100.0,1875-8398,100.0,0957-0411,100.0,Oxford University Press,100.0,http://arbitration.oxfordjournals.org,,1985,2015,31,0,1,31,31,0
asj,Aesthetic Surgery Journal,100.0,1527-330X,100.0,1090-820X,100.0,Oxford University Press,86.8,http://asj.oxfordjournals.org,,1995,2015,21,0,15,35,21,0
astrogeo,Astronomy & Geophysics,100.0,1468-4004,100.0,1366-8781,100.0,Oxford University Press,100.0,http://astrogeo.oxfordjournals.org,,2015,2015,1,0,56,56,1,0
beheco,Behavioral Ecology,100.0,1465-7279,99.9,1045-2249,100.0,Oxford University Press,100.0,http://beheco.oxfordjournals.org,,1990,2015,26,0,1,26,26,0
bfgp,Briefings in Functional Genomics,100.0,2041-2647,81.8,2041-2649,100.0,Oxford University Press,100.0,http://bfgp.oxfordjournals.org,,2015,2015,1,0,14,14,1,0
bioinformatics,Bioinformatics,97.9,1460-2059,100.0,1367-4803,100.0,Oxford University Press,100.0,http://bioinformatics.oxfordjournals.org,,1985,2015,31,0,1,31,31,0
biomet,Biometrika,100.0,1464-3510,100.0,0006-3444,100.0,Oxford University Press,100.0,http://biomet.oxfordjournals.org,,1901,2015,111,4,1,102,101,1
bioscience,BioScience,100.0,1525-3244,99.8,0006-3568,100.0,Oxford University Press,97.0,http://bioscience.oxfordjournals.org,,1964,2015,52,0,14,65,52,0
biosts,Biostatistics,100.0,1468-4357,100.0,1465-4644,100.0,Oxford University Press,100.0,http://biostatistics.oxfordjournals.org,,2015,2015,1,0,16,16,1,0
bjaint,BJA: British Journal of Anaesthesia,62.1,1471-6771,99.5,0007-0912,99.6,Oxford University Press,100.0,http://bja.oxfordjournals.org,,1923,2015,93,0,1,115,116,-1
bjarev,"Continuing Education in Anaesthesia, Critical Care & Pain",52.5,1743-1824,52.5,1743-1816,52.5,Oxford University Press,100.0,http://bjaed.oxfordjournals.org,,2015,2015,1,0,15,15,1,0
blms,Bulletin of the London Mathematical Society,100.0,1469-2120,100.0,0024-6093,100.0,Oxford University Press,100.0,http://blms.oxfordjournals.org,,1969,2015,47,0,1,47,47,0
brainj,Brain,94.1,1460-2156,100.0,0006-8950,100.0,Oxford University Press,100.0,http://brain.oxfordjournals.org,,1878,2015,20,0,1,138,20,118
brheum,Rheumatology,94.5,1462-0332,100.0,1462-0324,95.6,Oxford University Press,100.0,http://rheumatology.oxfordjournals.org,,1952,2015,64,0,1,54,54,0
brimed,British Medical Bulletin,100.0,1471-8391,100.0,0007-1420,99.9,Oxford University Press,100.0,http://bmb.oxfordjournals.org,,1943,2015,73,0,1,116,118,-2
cameco,Cambridge Journal of Economics,86.6,1464-3545,100.0,0309-166X,100.0,Oxford University Press,99.7,http://cje.oxfordjournals.org,,1977,2015,39,0,1,39,39,0
camquj,The Cambridge Quarterly,100.0,1471-6836,100.0,0008-199X,100.0,Oxford University Press,100.0,http://camqtly.oxfordjournals.org,,1965,2015,51,0,1,44,15,29
carcin,Carcinogenesis,100.0,1460-2180,100.0,0143-3334,100.0,Oxford University Press,100.0,http://carcin.oxfordjournals.org,,1980,2015,36,0,1,36,36,0
cardiovascres,Cardiovascular Research,100.0,1755-3245,100.0,0008-6363,100.0,Oxford University Press,60.2,http://cardiovascres.oxfordjournals.org,,1967,2015,49,0,1,108,108,0
cb,Christian Bioethics,100.0,1744-4195,100.0,1380-3603,96.1,Oxford University Press,45.0,http://cb.oxfordjournals.org,,1995,2015,21,0,1,21,21,0
cdj,Community Development Journal,100.0,1468-2656,100.0,0010-3802,100.0,Oxford University Press,100.0,http://cdj.oxfordjournals.org,,1966,2015,50,0,1,50,50,0
cercor,Cerebral Cortex,96.9,1460-2199,100.0,1047-3211,100.0,Oxford University Press,100.0,http://cercor.oxfordjournals.org,,1991,2015,25,0,1,25,25,0
cesifo,CESifo Economic Studies,100.0,1612-7501,100.0,1610-241X,100.0,Oxford University Press,100.0,http://cesifo.oxfordjournals.org,,2015,2015,1,0,61,61,1,0
chemse,Chemical Senses,100.0,1464-3553,100.0,0379-864X,100.0,Oxford University Press,99.8,http://chemse.oxfordjournals.org,,1974,2015,42,0,1,40,40,0
chromsci,Journal of Chromatographic Science,100.0,1945-239X,99.0,0021-9665,100.0,Oxford University Press,100.0,http://chromsci.oxfordjournals.org,,1963,2015,53,0,1,53,53,0
cid,Clinical Infectious Diseases,87.0,1537-6591,100.0,1058-4838,100.0,Oxford University Press,76.6,http://cid.oxfordjournals.org,,1979,2015,37,0,1,61,61,0
cjilaw,Chinese Journal of International Law,100.0,1746-9937,100.0,1540-1650,100.0,Oxford University Press,100.0,http://chinesejil.oxfordjournals.org,,2015,2015,1,0,14,14,1,0
cjip,The Chinese Journal of International Politics,100.0,1750-8924,100.0,1750-8916,100.0,Oxford University Press,100.0,http://cjip.oxfordjournals.org,,2015,2015,1,0,8,8,1,0
cjres,"Cambridge Journal Of Regions, Economy And Society",100.0,1752-1386,100.0,1752-1378,100.0,Oxford University Press,100.0,http://cjres.oxfordjournals.org,,2015,2015,1,0,8,8,1,0
clp,Current Legal Problems,100.0,,100.0,2044-8422,62.5,Oxford University Press,100.0,http://clp.oxfordjournals.org,,1948,2015,68,0,1,68,68,0
cmlj,Capital Markets Law Journal,100.0,1750-7227,100.0,1750-7219,100.0,Oxford University Press,100.0,http://cmlj.oxfordjournals.org,,2015,2015,1,0,10,10,1,0
combul,ITNOW,65.1,1746-5710,100.0,1746-5702,100.0,Oxford University Press,100.0,http://itnow.oxfordjournals.org,,1995,2015,21,0,37,57,21,0
computer_journal,The Computer Journal,100.0,1460-2067,100.0,0010-4620,100.0,Oxford University Press,81.2,http://comjnl.oxfordjournals.org,,1958,2015,58,0,1,58,58,0
conpec,Contributions to Political Economy,100.0,1464-3588,100.0,0277-5921,100.0,Oxford University Press,100.0,http://cpe.oxfordjournals.org,,1982,2015,34,0,1,34,34,0
