Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
acn,Archives of Clinical Neuropsychology,0887-6177,1873-5843,Oxford University Press,http://acn.oxfordjournals.org,,1986,1,2015,30
ae,American Entomologist,1046-2821,2155-9902,Oxford University Press,http://ae.oxfordjournals.org,,1990,36,2015,61
aepp,Review of Agricultural Economics,1058-7195,1467-9353,Oxford University Press,http://aepp.oxfordjournals.org,,1996,18,2015,37
aesa,Annals of the Entomological Society of America,0013-8746,1938-2901,Oxford University Press,http://aesa.oxfordjournals.org,,1908,1,2015,108
aesthj,The British Journal of Aesthetics,0007-0904,1468-2842,Oxford University Press,http://bjaesthetics.oxfordjournals.org,,1960,1,2015,55
afrafj,African Affairs,0001-9909,1468-2621,Oxford University Press,http://afraf.oxfordjournals.org,,1901,1,2015,114
ageing,Age and Ageing,0002-0729,1468-2834,Oxford University Press,http://ageing.oxfordjournals.org,,1972,1,2015,44
ahr,The American Historical Review,0002-8762,1937-5239,Oxford University Press,http://ahr.oxfordjournals.org,,1895,1,2015,120
aje,American Journal of Epidemiology,0002-9262,1476-6256,Oxford University Press,http://aje.oxfordjournals.org,,1952,55,2015,182
ajh,American Journal of Hypertension,0895-7061,1941-7225,Oxford University Press,http://ajh.oxfordjournals.org,,1988,1,2015,28
ajj,The American Journal of Jurisprudence,0065-8995,2049-6494,Oxford University Press,http://ajj.oxfordjournals.org,,1956,1,2015,60
alcalc,Alcohol and Alcoholism,0735-0414,1464-3502,Oxford University Press,http://alcalc.oxfordjournals.org,,1963,1,2015,50
alhist,American Literary History,0896-7148,1468-4365,Oxford University Press,http://alh.oxfordjournals.org,,1989,1,2015,27
analys,Analysis,0003-2638,1467-8284,Oxford University Press,http://analysis.oxfordjournals.org,,1933,1,2015,75
annbot,Annals of Botany,0305-7364,1095-8290,Oxford University Press,http://aob.oxfordjournals.org,,1887,1,2015,116
annhyg,Annals of Occupational Hygiene,0003-4878,1475-3162,Oxford University Press,http://annhyg.oxfordjournals.org,,1972,15,2015,59
annonc,Annals of Oncology,0923-7534,1569-8041,Oxford University Press,http://annonc.oxfordjournals.org,,1990,1,2015,26
applij,Applied Linguistics,0142-6001,1477-450X,Oxford University Press,http://applij.oxfordjournals.org,,1980,1,2015,36
arbitration,Arbitration International,0957-0411,1875-8398,Oxford University Press,http://arbitration.oxfordjournals.org,,1985,1,2015,31
asj,Aesthetic Surgery Journal,1090-820X,1527-330X,Oxford University Press,http://asj.oxfordjournals.org,,1995,15,2015,35
beheco,Behavioral Ecology,1045-2249,1465-7279,Oxford University Press,http://beheco.oxfordjournals.org,,1990,1,2015,26
