publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
4OR	1619-4500	1614-2411	01.03.2005	3	1	01.12.2012	10	4	http://link.springer.com/journal/10288		10288		fulltext		Springer Berlin Heidelberg	Serial							
AAPS PharmSciTech		1530-9932	01.03.2005	6	1	01.12.2012	13	4	http://link.springer.com/journal/12249		12249		fulltext		Springer US	Serial							
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	01.05.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12402		12402		fulltext		Springer Vienna	Serial							
AI & SOCIETY	0951-5666	1435-5655	01.07.1987	1	1	01.11.2012	27	4	http://link.springer.com/journal/146		146		fulltext		Springer London	Serial							
AIDS and Behavior	1090-7165	1573-3254	01.03.2005	9	1	01.11.2012	16	8	http://link.springer.com/journal/10461		10461		fulltext		Springer US	Serial							
ANNALI DELL'UNIVERSITA' DI FERRARA	0430-3202	1827-1510	01.12.1950	1	1	01.11.2012	58	2	http://link.springer.com/journal/11565		11565		fulltext		Springer Milan	Serial							
AStA Advances in Statistical Analysis	1863-8171	1863-818X	01.02.2005	89	1	01.10.2012	96	4	http://link.springer.com/journal/10182		10182		fulltext		Springer Berlin Heidelberg	Serial							
Abdominal Radiology	2366-004X	2366-0058	01.12.1976	1	1	01.12.2012	37	6	http://link.springer.com/journal/261		261		fulltext		Springer US	Serial							
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	01.12.1922	1	1	01.10.2012	82	2	http://link.springer.com/journal/12188		12188		fulltext		Springer Berlin Heidelberg	Serial							
Academic Psychiatry	1042-9670	1545-7230	01.03.1989	13	1	01.11.2012	36	6	http://link.springer.com/journal/40596		40596		fulltext		Springer International Publishing	Serial							
Academic Questions	0895-4852	1936-4709	01.03.1988	1	1	01.12.2012	25	4	http://link.springer.com/journal/12129		12129		fulltext		Springer US	Serial							
Accreditation and Quality Assurance	0949-1775	1432-0517	01.01.1996	1	1	01.12.2012	17	6	http://link.springer.com/journal/769		769		fulltext		Springer Berlin Heidelberg	Serial							
Acoustical Physics	1063-7710	1562-6865	01.02.2005	51	1	01.11.2012	58	6	http://link.springer.com/journal/11441		11441		fulltext		Pleiades Publishing	Serial							
Acta Analytica	0353-5150	1874-6349	01.03.2005	20	1	01.12.2012	27	4	http://link.springer.com/journal/12136		12136		fulltext		Springer Netherlands	Serial							
Acta Applicandae Mathematicae	0167-8019	1572-9036	01.03.1983	1	1	01.12.2012	122	1	http://link.springer.com/journal/10440		10440		fulltext		Springer Netherlands	Serial							
Acta Biotheoretica	0001-5342	1572-8358	01.12.1935	1	1	01.12.2012	60	4	http://link.springer.com/journal/10441		10441		fulltext		Springer Netherlands	Serial							
Acta Diabetologica	0940-5429	1432-5233	01.01.1964	1	1	01.12.2012	49	1	http://link.springer.com/journal/592		592		fulltext		Springer Milan	Serial							
Acta Geochimica	2096-0956	2365-7499	01.01.1982	1	1	01.10.2004	23	4	http://link.springer.com/journal/11631		11631		fulltext		Science Press	Serial							
Acta Geotechnica	1861-1125	1861-1133	01.05.2006	1	1	01.12.2012	7	4	http://link.springer.com/journal/11440		11440		fulltext		Springer Berlin Heidelberg	Serial							
Acta Informatica	0001-5903	1432-0525	01.03.1971	1	1	01.11.2012	49	7	http://link.springer.com/journal/236		236		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mathematica	0001-5962	1871-2509	1882-12-01	1	1	01.12.2011	207	2	http://link.springer.com/journal/11511		11511		fulltext		Springer Netherlands	Serial							
Acta Mathematica Hungarica	0236-5294	1588-2632	01.03.1950	1	1	01.12.2012	137	4	http://link.springer.com/journal/10474		10474		fulltext		Springer Netherlands	Serial							
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	01.03.1985	1	1	01.12.2012	28	12	http://link.springer.com/journal/10114		10114		fulltext		Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society	Serial							
Acta Mathematicae Applicatae Sinica, English Series	0168-9673	1618-3932	01.03.1984	1	1	01.10.2012	28	4	http://link.springer.com/journal/10255		10255		fulltext		Springer Berlin Heidelberg	Serial							
Acta Mechanica	0001-5970	1619-6937	01.03.1965	1	1	01.12.2012	223	12	http://link.springer.com/journal/707		707		fulltext		Springer Vienna	Serial							
Acta Mechanica Sinica	0567-7718	1614-3116	01.02.2005	21	1	01.12.2012	28	6	http://link.springer.com/journal/10409		10409		fulltext		"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences"	Serial							
Acta Neurochirurgica	0001-6268	0942-0940	01.02.1950	1	1	01.12.2012	154	12	http://link.springer.com/journal/701		701		fulltext		Springer Vienna	Serial							
Acta Neuropathologica	0001-6322	1432-0533	01.01.1961	1	1	01.12.2012	124	6	http://link.springer.com/journal/401		401		fulltext		Springer Berlin Heidelberg	Serial							
Acta Oceanologica Sinica	0253-505X	1869-1099	01.01.2010	29	1	01.11.2012	31	6	http://link.springer.com/journal/13131		13131		fulltext		The Chinese Society of Oceanography	Serial							
Acta Physica Hungarica	0231-4428		01.01.1983	54	1	31.12.1994	75	1	http://link.springer.com/journal/12242		12242		fulltext		Springer-Verlag	Serial							
Acta Physica Hungarica B) Quantum Electronics	1589-9535		01.08.2005	23	1	02.12.2009	26	1	http://link.springer.com/journal/12657		12657		fulltext		Springer Berlin Heidelberg	Serial							
Acta Physica Hungarica Series A, Heavy Ion Physics	1219-7580	1588-2675	01.01.1995	1	1	31.12.1996		4	http://link.springer.com/journal/12656		12656		fulltext		Springer-Verlag	Serial							
Acta Physiologiae Plantarum	0137-5881	1861-1664	01.03.2005	27	1	01.11.2012	34	6	http://link.springer.com/journal/11738		11738		fulltext		Springer Berlin Heidelberg	Serial							
Acta physica Academiae Scientiarum Hungaricae	0001-6705		01.06.1951	1	1	01.10.1982	53	3	http://link.springer.com/journal/12658		12658		fulltext		Springer Berlin Heidelberg	Serial							
Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	01.09.1973	1	1	01.11.2012	39	6	http://link.springer.com/journal/10488		10488		fulltext		Springer US	Serial							
Adsorption	0929-5607	1572-8757	01.03.1995	1	1	01.12.2012	18	5	http://link.springer.com/journal/10450		10450		fulltext		Springer US	Serial							
Advances in Applied Clifford Algebras	0188-7009	1661-4909	01.03.2005	15	1	01.12.2012	22	4	http://link.springer.com/journal/6		6		fulltext		Springer International Publishing	Serial							
Advances in Atmospheric Sciences	0256-1530	1861-9533	01.05.1984	1	1	01.12.2004	21	6	http://link.springer.com/journal/376		376		fulltext		Science Press	Serial							
Advances in Computational Mathematics	1019-7168	1572-9044	01.02.1993	1	1	01.11.2012	37	4	http://link.springer.com/journal/10444		10444		fulltext		Springer US	Serial							
Advances in Contraception	0267-4874	1573-7195	01.01.1985	1	1	31.12.1996		4	http://link.springer.com/journal/10451		10451		fulltext		Kluwer Academic Publishers	Serial							
Advances in Health Sciences Education	1382-4996	1573-1677	01.01.1996	1	1	01.12.2012	17	5	http://link.springer.com/journal/10459		10459		fulltext		Springer Netherlands	Serial							
Advances in Therapy	0741-238X	1865-8652	01.01.2005	22	1	01.12.2012	29	12	http://link.springer.com/journal/12325		12325		fulltext		Springer Healthcare	Serial							
Aequationes mathematicae	0001-9054	1420-8903	01.02.1968	1	1	01.12.2012	84	3	http://link.springer.com/journal/10		10		fulltext		Springer International Publishing	Serial							
Aerobiologia	0393-5965	1573-3025	01.12.1985	1	1	01.12.2012	28	4	http://link.springer.com/journal/10453		10453		fulltext		Springer Netherlands	Serial							
Aesthetic Plastic Surgery	0364-216X	1432-5241	01.12.1976	1	1	01.12.2012	36	6	http://link.springer.com/journal/266		266		fulltext		Springer US	Serial							
African Archaeological Review	0263-0338	1572-9842	01.12.1983	1	1	01.12.2012	29	4	http://link.springer.com/journal/10437		10437		fulltext		Springer US	Serial							
