title_id	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
10288	4OR	1619-4500	1614-2411	2005	3	1	2016			http://link.springer.com/journal/10288			fulltext		Springer Berlin Heidelberg	Serial							
12249	AAPS PharmSciTech		1530-9932	2005	6	1	2016			http://link.springer.com/journal/12249			fulltext		Springer US	Serial							
261	Abdominal Radiology	2366-004X	2366-0058	1976	1	1	2016			http://link.springer.com/journal/261			fulltext		Springer US	Serial							
12188	Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	1922	1	1	2016			http://link.springer.com/journal/12188			fulltext		Springer Berlin Heidelberg	Serial							
40596	Academic Psychiatry	1042-9670	1545-7230	1989	13	1	2016			http://link.springer.com/journal/40596			fulltext		Springer International Publishing	Serial							
12129	Academic Questions	0895-4852	1936-4709	1988	1	1	2015			http://link.springer.com/journal/12129			fulltext		Springer US	Serial							
769	Accreditation and Quality Assurance	0949-1775	1432-0517	1996	1	1	2016			http://link.springer.com/journal/769			fulltext		Springer Berlin Heidelberg	Serial							
11441	Acoustical Physics	1063-7710	1562-6865	2005	51	1	2016			http://link.springer.com/journal/11441			fulltext		Pleiades Publishing	Serial							
12136	Acta Analytica	0353-5150	1874-6349	2005	20	1	2016			http://link.springer.com/journal/12136			fulltext		Springer Netherlands	Serial							
10440	Acta Applicandae Mathematicae	0167-8019	1572-9036	1983	1	1	2016			http://link.springer.com/journal/10440			fulltext		Springer Netherlands	Serial							
10441	Acta Biotheoretica	0001-5342	1572-8358	1935	1	1	2016			http://link.springer.com/journal/10441			fulltext		Springer Netherlands	Serial							
592	Acta Diabetologica	0940-5429	1432-5233	1964	1	1	2016			http://link.springer.com/journal/592			fulltext		Springer Milan	Serial							
10211	acta ethologica	0873-9749	1437-9546	2005	8	1	2016			http://link.springer.com/journal/10211			fulltext		Springer Berlin Heidelberg	Serial							
11440	Acta Geotechnica	1861-1125	1861-1133	2006	1	1	2016			http://link.springer.com/journal/11440			fulltext		Springer Berlin Heidelberg	Serial							
236	Acta Informatica	0001-5903	1432-0525	1971	1	1	2016			http://link.springer.com/journal/236			fulltext		Springer Berlin Heidelberg	Serial							
11511	Acta Mathematica	0001-5962	1871-2509	1882	1	1	2011	207	2	http://link.springer.com/journal/11511			fulltext		Springer Netherlands	Serial							
