publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Journal für Verbraucherschutz und Lebensmittelsicherheit	1661-5751	1661-5867	2006			2011			http://link.springer.com/journal/3		3		fulltext		Springer	serial								
Nexus Network Journal	1590-5896	1522-4600	2005			2011			http://link.springer.com/journal/4		4		fulltext		Springer	serial								
Archivum Immunologiae et Therapiae Experimentalis	0004-069X	1661-4917	2006			2011			http://link.springer.com/journal/5		5		fulltext		Springer	serial								
Advances in Applied Clifford Algebras	0188-7009	1661-4909	2005			2011			http://link.springer.com/journal/6		6		fulltext		Springer	serial								
Mediterranean Journal of Mathematics	1660-5446	1660-5454	2005			2011			http://link.springer.com/journal/9		9		fulltext		Springer	serial								
Aequationes mathematicae	0001-9054	1420-8903	1968			2011			http://link.springer.com/journal/10		10		fulltext		Springer	serial								
Inflammation Research	1023-3830	1420-908X	1969			2011			http://link.springer.com/journal/11		11		fulltext		Springer	serial								
Algebra universalis	0002-5240	1420-8911	1971			2011			http://link.springer.com/journal/12		12		fulltext		Springer	serial								
Archiv der Mathematik	0003-889X	1420-8938	1948			2011			http://link.springer.com/journal/13		13		fulltext		Springer	serial								
Swiss Journal of Geosciences	1661-8726	1661-8734	2005			2011			http://link.springer.com/journal/15		15		fulltext		Springer	serial								
Physics in Perspective	1422-6944	1422-6960	2005			2011			http://link.springer.com/journal/16		16		fulltext		Springer	serial								
Cellular and Molecular Life Sciences	1420-682X	1420-9071	1945			2011			http://link.springer.com/journal/18		18		fulltext		Springer	serial								
Integral Equations and Operator Theory	0378-620X	1420-8989	1978			2011			http://link.springer.com/journal/20		20		fulltext		Springer	serial								
Journal of Mathematical Fluid Mechanics	1422-6928	1422-6952	2005			2011			http://link.springer.com/journal/21		21		fulltext		Springer	serial								
Journal of Geometry	0047-2468	1420-8997	1971			2011			http://link.springer.com/journal/22		22		fulltext		Springer	serial								
Annales Henri Poincaré	1424-0637	1424-0661	2005			2011			http://link.springer.com/journal/23		23		fulltext		Springer	serial								
