springer id,title,eissn,pissn,number of articles,minYear,maxYear,cardinality,missing years
40278,Reactions Weekly,1179-2051,0114-9954,117123,1980.0,2016.0,37,0.0
216,Fresenius' Zeitschrift für analytische Chemie,1618-2650,0016-1152,97731,1862.0,2016.0,150,5.0
40285,Inpharma Weekly,2230-6056,1173-8324,83708,1975.0,2008.0,34,0.0
109,Klinische Wochenschrift,1432-1440,0023-2173,36967,1922.0,2016.0,94,1.0
11172,"Bulletin of the Academy of Sciences of the USSR, Division of chemical science",1573-9171,0568-5230,34795,1952.0,2015.0,64,0.0
10853,Journal of Materials Science,1573-4803,0022-2461,34305,1966.0,2016.0,51,0.0
114,Naturwissenschaften,1432-1904,0028-1042,34105,1913.0,2016.0,99,5.0
18,Experientia,1420-9071,0014-4754,30976,1945.0,2016.0,72,0.0
396,Colloid and Polymer Science,1435-1536,0368-6590,27116,1906.0,2016.0,105,6.0
10517,Bulletin of Experimental Biology and Medicine,1573-8221,0007-4888,26932,1956.0,2016.0,61,0.0
217,Zeitschrift für Lebensmittel-Untersuchung und Forschung,1438-2385,0044-3026,24471,1898.0,2016.0,113,6.0
424,Pflügers Archiv,1432-2013,0365-267x,23351,1868.0,2016.0,143,6.0
423,Deutsche Zeitschrift für Chirurgie,1435-2451,0023-8236,22989,1872.0,2015.0,139,5.0
11746,Journal of the American Oil Chemists’ Society,1558-9331,0003-021X,22387,1924.0,2016.0,93,0.0
40274,PharmacoEconomics & Outcomes News,1179-2043,1173-5503,21853,1994.0,2016.0,23,0.0
218,Zeitschrift für Physik,1431-5831,0044-3328,21121,1920.0,1997.0,76,2.0
11018,Measurement Techniques,1573-8906,0543-1972,20889,1958.0,2016.0,59,0.0
210,Naunyn-Schmiedebergs Archiv für experimentelle Pathologie und Pharmakologie,1432-1912,0365-2009,20561,1873.0,2016.0,139,5.0
428,Archiv für pathologische Anatomie und Physiologie und für klinische Medicin,1432-2307,0720-8723,19929,1847.0,2016.0,161,9.0
10750,Hydrobiologia,1573-5117,0018-8158,19741,1948.0,2016.0,69,0.0
10967,Journal of Radioanalytical and Nuclear Chemistry,1588-2780,0236-5731,19583,1968.0,2016.0,49,0.0
404,Archiv für Gynäkologie,1432-0711,0003-9128,18293,1870.0,2016.0,141,6.0
10620,Digestive Diseases and Sciences,1573-2568,0163-2116,17837,1956.0,2016.0,61,0.0
441,Cell and Tissue Research,1432-0878,0302-766X,17706,1924.0,2016.0,90,3.0
10509,Astrophysics and Space Science,1572-946X,0004-640X,17296,1968.0,2016.0,49,0.0
606,Österreichische botanische Zeitschrift,1615-6110,0029-8948,17256,1851.0,2016.0,157,9.0
