Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
3,Journal für Verbraucherschutz und Lebensmittelsicherheit,1661-5751,1661-5867,Springer,http://link.springer.com/journal/3,,2006,,2011,
4,Nexus Network Journal,1590-5896,1522-4600,Springer,http://link.springer.com/journal/4,,2005,,2011,
5,Archivum Immunologiae et Therapiae Experimentalis,0004-069X,1661-4917,Springer,http://link.springer.com/journal/5,,2006,,2011,
6,Advances in Applied Clifford Algebras,0188-7009,1661-4909,Springer,http://link.springer.com/journal/6,,2005,,2011,
9,Mediterranean Journal of Mathematics,1660-5446,1660-5454,Springer,http://link.springer.com/journal/9,,2005,,2011,
10,Aequationes mathematicae,0001-9054,1420-8903,Springer,http://link.springer.com/journal/10,,1968,,2011,
11,Inflammation Research,1023-3830,1420-908X,Springer,http://link.springer.com/journal/11,,1969,,2011,
12,Algebra universalis,0002-5240,1420-8911,Springer,http://link.springer.com/journal/12,,1971,,2011,
13,Archiv der Mathematik,0003-889X,1420-8938,Springer,http://link.springer.com/journal/13,,1948,,2011,
15,Swiss Journal of Geosciences,1661-8726,1661-8734,Springer,http://link.springer.com/journal/15,,2005,,2011,
16,Physics in Perspective,1422-6944,1422-6960,Springer,http://link.springer.com/journal/16,,2005,,2011,
18,Cellular and Molecular Life Sciences,1420-682X,1420-9071,Springer,http://link.springer.com/journal/18,,1945,,2011,
20,Integral Equations and Operator Theory,0378-620X,1420-8989,Springer,http://link.springer.com/journal/20,,1978,,2011,
21,Journal of Mathematical Fluid Mechanics,1422-6928,1422-6952,Springer,http://link.springer.com/journal/21,,2005,,2011,
22,Journal of Geometry,0047-2468,1420-8997,Springer,http://link.springer.com/journal/22,,1971,,2011,
23,Annales Henri Poincaré,1424-0637,1424-0661,Springer,http://link.springer.com/journal/23,,2005,,2011,
24,Pure and Applied Geophysics,0033-4553,1420-9136,Springer,http://link.springer.com/journal/24,,1939,,2011,
25,Results in Mathematics,1422-6383,1420-9012,Springer,http://link.springer.com/journal/25,,1978,,2011,
26,Annals of Combinatorics,0218-0006,0219-3094,Springer,http://link.springer.com/journal/26,,2005,,2011,
27,Aquatic Sciences (= Aquatic Science),1015-1621,1420-9055,Springer,http://link.springer.com/journal/27,,1920,,2011,
28,Journal of Evolution Equations,1424-3199,1424-3202,Springer,http://link.springer.com/journal/28,,2005,,2011,
29,Selecta Mathematica,1022-1824,1420-9020,Springer,http://link.springer.com/journal/29,,1995,,2011,
